author,name,desc,detail,dwnld
Бизнес Молодость,Ксения Потапова - Активация продаж в Инстаграм за 7 дней + Транскрибация (2019),"Программа лекции:

— Рекламные возможности Инстаграма
• таргетированная реклама
• реклама в тематических пабликах
• реклама у блогеров
— Работа с базой подписчиков
• особенные приемы
• повышенные вовлеченности и охват
• посты, которые действительно продают
— Новости Инстаграма
• обзор обновлений 2017
• фишки и приемы, которые еще работают
• подробный разбор типовых ошибок

Транскрибация позволит Вам:

Взять все самое важное и ценное из этого тренинга.
Ускорить скорость изучения и внедрения материала в вашу жизнь.
Получить доступ к любой теме тренинга гораздо быстрее не тратя время на просматривание десятков часов видео.
Иметь материал всегда под рукой в удобном формате с телефона, смартфона или планшета.
Для удобства использования в транскрибации будет, для наглядности там, где это будет необходимо:

оглавление
тайм метки
слайд-таблицы",https://institute-bm.com/lectures/aktivatsiya-prodazh-v-instagram-za7-dney/,https://cloud.mail.ru/public/5vjY/3gv1wQujv
Бизнес молодость,Онлайн-марафон 100 лидов за 5 дней (2020),"Получите пошаговый план действий:

Сделаешь первые продажи, пропишешь скрипты, и научишься закрывать 9 сделок из 10;
Сформулируешь убойный оффер и лидмагнит, от которого клиент не сможет отказаться;
Запустишь бесплатные инструменты трафика;
Запустишь трафик из VK, Facebook и Инстаграм;
Настроишь ТОП-3 сервиса для привлечения клиентов из соцсетей;
Внедришь технологию “Сторителлинг 2.0.” и узнаешь как написать 1 пост, который может принести 7.000.000₽ за месяц;
Прокачаешь Авито и другие площадки, используя их скрытые лайфхаки.",https://api.institute-bm.com/landing/marathon-100-leads/,https://cloud.mail.ru/public/3PKe/54qCwQNkp
,,,,
Бизнес Молодость,Упаковка для бизнеса,,https://skladchik.com/threads/Упаковка-для-бизнеса.191321/,https://cloud.mail.ru/public/57HY/4qLSjThRh
Бизнес Молодость - МЗС,МЗС New Year 2020 - Онлайн марафон,,https://molodost.bz/million_special30,https://yadi.sk/d/TwCNqcmH-R2CrQ
БМ,Как создать лендинг с конверсией до 37%,,,"https://cloud.mail.ru/public/2gdV/2gMx7K9F8



			Пароль: L8p*k=seoxa.net_(89
		
Нажмите для раскрытия..."
,,"Трафик с авито может стать вашим основным каналом продаж. Соотношение посетителей сайта Авито к жителям РФ 1 к 2.25 ,то есть практически каждый второй житель РФ заходит на Авито ежемесячно. Авито - самый короткий путь до первой продажи.","https://institute-bm.com/courses/odnodnevnyy_kurs_avito/ 




Скрытый контент, для просмотра которого нужно лайкнуть пост.
 https://drive.google.com/file/d/1gflBDDqWjW0zOuRzyBop1weGIby7gPW3/view 
Пароль к архиву: www.sharewood.biz",
Бизнес Молодость,Реальный Директ 2.0 (2018),,https://api.institute-bm.com/landing/real-direct-2.0/,https://cloud.mail.ru/public/2FMu/5yHzwbGVR
Бизнес Молодость,Bootcamp «АВТОПРОДАЖИ»,"Как Вам такая идея: потратить несколько недель сконцентрированного труда над совершенно другими задачами, чтобы в результате создать систему, которая будет зарабатывать для вас деньги, даже когда вы спите
Мы запускаем новую волну изменений для самых продвинутых предпринимателей на большой сцене, где 1500 человек впитают новую методику и внедрят ее в свой бизнес.
С 18 по 20 ноября мы проводим Bootcamp, трехдневный живой практикум, где мы раскроем все тонкости автопродаж и американских технологий.

 Это три дня полного погружения в тему автоматизированных воронок продаж:
1.Планирование с конца для достижения большего результата
2. Profit opportunities
Увеличение прибыли при текущем масштабе
3. One to many
Продажа одного продукта или услуги на большую аудиторию с целью масштабирования бизнеса
4. Triggers
Триггеры, управление поведением покупателя (подробно разобраны все 30 триггеров)
5. Tunnels and funnels
Системы коммуникаций, позволяющие зарабатывать больше прибыли с каждого покупателя
6. Automatization
Автоматизация повторяющихся процессов для увеличения эффективности бизнеса
7. Traffic systems
Новые каналы получения массового траффика, используемые в америке
8. Cooperation
Взаимовыгодное партнерство с целью увеличения прибыли
9. Customer service
Высокий уровень сервиса, обеспечивающий органический рост бизнеса
10. Big reason why
Большая причина, мотивирующая вас действовать
Со всем этим вы не просто познакомитесь, но и получите инструменты и техники для внедрения американских технологий в свой бизнес.",http://molodost.bz/video/bootcamp/,https://cloud.mail.ru/public/7YLK/scDf7HERD
Бизнес Молодость,Реальный директ 2.0 (Выжимка курса),,https://api.institute-bm.com/landing/real-direct-2.0/,https://cloud.mail.ru/public/jhNp/3BoMRpLco
Бизнес Молодость,ЦЕХ,,http://molodost.bz/coaching_june/,"https://yadi.sk/d/jxqCBuv2l0FPQA
https://yadi.sk/d/TG53lUyOFDlBng
https://yadi.sk/d/7l6skRnStasRpg"
,,,,
Бизнес Молодость,117 вопросов для упаковки (2018),,https://molodost.bz/million_coaching/,https://yadi.sk/d/4LIzGVTAYdu7RA
Бизнес-молодость,35 курсов от БМ,,,https://cloud.mail.ru/public/6osk/1gQtVmxc5
,,"Актуальные контакты оптовых поставщиков, аккуратно рассортированые по нишам. Бесценная вещь.


Скрытый контент, для просмотра которого нужно лайкнуть пост.
 https://drive.google.com/drive/folders/19Hydqy3mTJ-RzUW5Q7c6eJLCXioXhvln",,
