author,name,desc,detail,dwnld
Convert Monster,Запуск рекламы в Instagram за 2 дня (2020),,http://anonyme.ru/?http://live.convertmonster.ru/smm,
ConvertMonster,Готовый комплект материалов по привлечению трафика (2018),,https://convertmonster.ru/edu/traffic-intensive-3days/materials_2?440c6c3a,
Convert Monster,Яндекс.Директ 2019. Пакет Эксперт (2019),"Чему вы научитесь на курсе

Составлять портрет целевой аудитории, анализировать конкурентов и создавать эффективный медиаплан
Составлять семантическое ядро и собирать до 10 000 ключевых слов за 2 часа в любой нише
Создавать тысячи кликабельных объявлений за 30 минут с помощью специальных сервисов
Правильно загружать и настраивать кампанию, быстро проходить модерацию
Добиваться максимального ROI рекламной кампании за счет работы с Яндекс.Метрикой и Google Analytics
Анализировать рекламные кампании, увеличивать число кликов и уменьшать стоимость заявок
Программа курса

Вводное
Семантическое ядро
Работа с текстами объявлений
Настройка рекламной кампании на поиске Яндекс
Секреты работы с РСЯ
Яндекс.Аудитории
Оптимизация рекламных кампаний через интерфейс Яндекс.Директ
Работа с системами аналитики Яндекс.Метрика и Google Analytics
Concept Direct
Аудит рекламных кампаний
Дополнительные возможности таргетинга",https://convertmonster.ru/edu/yandex_direct_intencive/tarif,
Convert Monster,"Специалист по работе с поисковыми системами, SEO-оптимизатор (2019)","ПРАКТИЧЕСКИЙ КУРС ДЛЯ ТЕХ, КОМУ НУЖНЫ РЕАЛЬНЫЕ ЗНАНИЯ
Через 2 месяца вы будете четко знать, что и как делать, чтобы вывести ваш сайт в ТОП!

Описание курса и результаты
Через 2 месяца вы:

Разберетесь во всех тонкостях SEO-продвижения;
Научитесь точно распределять бюджет на продвижение;
Сможете оценить работу подрядчика и контролировать её качество;
Получите новых клиентов в свой бизнес и увеличите доход.

РЕЗУЛЬТАТ ПО ОКОНЧАНИИ КУРСА
Как изменится ваша жизнь после обучения

Специалист, фрилансер

Прокачаете свои навыки, наработаете живой опыт в SEO;
Научитесь работать с инструментами поискового продвижения;
Сможете вести одновременно 3-5 проектов удаленно с заработком от 75 000 в месяц;
Лучшие ученики попадут на стажировку в Convert Monster.

Владелец бизнеса

Вас больше не смогут обмануть нечестные сеошники;
Научитесь точно распределять бюджет на продвижение и нанимать квалифицированных сотрудников;
Сможете оценить и контролировать работу подрядчика;
Получите новых клиентов в свой бизнес и увеличите доход.


ПОДРОБНАЯ ПРОГРАММА КУРСА
12 практических занятий по 2,5 часа

ЗАНЯТИЕ 1. «Основы работы с поисковыми системами» (Online занятие)

Знакомство
Технология web поиска
Принцип работы и особенности поисковых машин
Терминология
Инструменты
ДЗ: установить счетчики / заполнить опросник
ЗАНЯТИЕ 2. «Алгоритмы ранжирования» (Занятие в записи)

Что такое ранжирование?
Факторы ранжирования Яндекс
Фильтры Яндекс
Факторы ранжирования Google
Фильтры Гугл
ДЗ: проверка на фильтры / заполнить чек-лист
ЗАНЯТИЕ 3. «Индексация и инструменты SEO специалиста» (Online занятие)

Понятие индексации сайта
Инструменты для корректной индексации сайта
Robots.txt
Карта сайта
Микроразметка
ДЗ: проверка Robots / проверка карты сайта / анализ индексации сайта по чек-листу
ЗАНЯТИЕ 4. «Семантика» (Занятие в записи)

Виды поисковых запросов
Способы сбора запросов
Кластеризация запросов
Сбор семантического ядра
ДЗ: определить группу запросов / собрать ядро
ЗАНЯТИЕ 5. «Технический аудит сайта» (Online занятие)

Часть 1
Введение. Общие понятия технического состояния сайта
Техническое Задания для Веб-Мастера. Чек Лист
Программы для сбора аудита.
Настройка программы на примере Screaming Frog
Вывод: механика действий

Часть 2
Анализ полученных данных
Разбор основных ошибок
Плюсы и минусы популярных ЦМС
Вопрос/Ответ

ЗАНЯТИЕ 6. «Внутренняя оптимизация» (Занятие в записи)

Оптимизация текстов сайта
Оптимизация изображений сайта
Мета теги
Внутренняя ссылочная структура
Вес страниц
Конкурентный анализ
ЗАНЯТИЕ 7. «Юзабилити оптимизация сайта» (Online занятие)

Понятие юзабилити
Юзабилити для сайтов каталогов (интернет магазинов)
Юзабилити аудит
Навигационная структура сайта
ЗАНЯТИЕ 8. «Поведенческие и социальные факторы» (Занятие в записи)

Что такое поведенческие метрики?
Влияние поведенческих метрик на результаты выдачи
Меры для улучшения поведенческих метрик
Виды социальных факторов и их влияние на SEO
ЗАНЯТИЕ 9. «Контент маркетинг» (Online занятие)

Введение в контент маркетинг
Разработка концепции блога
Создание редакционного плана
Стратегия inbound-marketing
ЗАНЯТИЕ 10. «Создание вирусного контента» (Online занятие)

Структура контента
Создание контента при помощи анализа сообществ
Триггеры
Мотивированное распространение
Редактура
Оформление
ЗАНЯТИЕ 11. «Внешняя оптимизация» (Занятие в записи)

Внешние ссылки и их виды
Вес ссылки
Внешние площадки и способы подбора
Плюсы и минусы ссылочного продвижения
Список рекомендуемых площадок
ЗАНЯТИЕ 12. «SEO аналитика» (Online занятие)

Отчеты в Яндекс Метрике
Отчеты в Google Analytics
Анализ данных и корректировка стратегии",https://convertmonster.ru/seo-optimizator-live/,
Convert Monster,Google Analytics: от новичка до эксперта (2018),"ПРАКТИЧЕСКИЙ КУРС ДЛЯ ТЕХ, КОМУ НУЖНЫ РЕАЛЬНЫЕ ЗНАНИЯ
Вы научитесь использовать на 100% весь функционал и возможности Google Analytics, прокачаете свои навыки и наработаете живой опыт в веб-аналитике

Упор на практику
Аналитика требует практики в первую очередь.
Теории предостаточно - статьи, обучающие ролики на YouTube, блоги и Telegram-каналы. Но вся эта информация дана в хаотичном порядке, словно разбившаяся на тысячи мелких осколков ваза.
На курсе вы последовательно изучите весь функционал Google Analytics от азов до профессиональных фишек.
И начнете внедрять полученные знания с первого занятия, чтобы наработать свой опыт в веб-аналитике за время обучения.

Подробная программа курса


Спойлер: Программа курса



ЗАНЯТИЕ 1. Введение в Google Analytics

    История возникновения Google Analytics
    Принцип работы GA
    Файлы cookie
    Global Site Tag
    UTM-метки

Результат: Необходимый пул знаний для дальнейшей работы с Google Analytics

ЗАНЯТИЕ 2. Начало работы

    Регистрация аккаунта
    Установка кода на сайт
    Структура аккаунта
    Управление пользователями
    Данные в Google Analytics
    Показатель отказов
    Интерфейс GA
    Горячие клавиши

Результат: Установим код на сайт, апгрейдим его и полюбим интерфейс

ЗАНЯТИЕ 3. Уровень «Представление» I

    Настройки представления
    Поиск по сайту
    Группы контента
    Фильтры
    Сегменты

Результат: Научимся сегментировать и фильтровать трафик

ЗАНЯТИЕ 4. Цели и события GA

    Определение ключевых показателей KPI
    Цели
    Умные цели
    События
    События сторонних сервисов (JivoSite, Callbackhunter, Calltouch и т.д.)
    Электронная торговля

Результат: Научимся отслеживать ключевые метрики сайта

ЗАНЯТИЕ 5. Уровень «Представление» II

    Вычисляемые показатели
    Настройки канала
    Собственные группы каналов
    Модели атрибуции
    Оповещения
    Плановая рассылка
    Заметки
    Сохраненные отчеты
    Общий доступ к объектам

Результат: Прокачаем скиллы по представлениям

ЗАНЯТИЕ 6. Уровень «Ресурс» I

    Настройки ресурса
    Хранение данных
    Сбор данных
    Настройки сеанса
    User ID
    Источники обычных результатов поиска
    Список исключаемых источников перехода
    Список исключаемых поисковых запросов

Результат: Поймете, как отслеживать пользователей с разных устройств

ЗАНЯТИЕ 7. Уровень «Ресурс» II

    Связь AdWords и Search Console с Google Analytics
    Импорт данных
    Специальные параметры и показатели
    Настройки аудитории

Результат: Научимся отслеживать собственные данные и создавать аудитории для ремаркетинга

ЗАНЯТИЕ 8. Специальные отчеты и отчеты «В режиме реального времени»

    Специальные отчеты
    Отчеты «В режиме реального времени»

Результат: Научимся создавать собственные отчеты и отслеживать пользователей в режиме реального времени

ЗАНЯТИЕ 9. Отчеты «Аудитория»

    Когортный анализ
    Разрешение сеанса
    Интересы
    Технологии
    География
    Мобильные устройства

Результат: Узнаем, кто наша целевая аудитория

ЗАНЯТИЕ 10. Отчеты «Источники трафика»

    Источники / канал
    Отчеты по Google AdWords
    Отчеты по Search Console
    Кампании

Результат: Поймем, откуда пользователи переходят к нам на сайт

ЗАНЯТИЕ 11. Отчеты «Поведение»

    Карта поведения
    Контент сайта
    События

Результат: Разберем поведение пользователей, как они взаимодействуют с нашим контентом

ЗАНЯТИЕ 12. Отчеты «Конверсии»

    Цели
    Электронная торговля
    Многоканальные последовательности
    Атрибуция

Результат: Научимся определять полную цепочку касаний пользователя с сайтом

ЗАНЯТИЕ 13. Профессиональные фишки I

    Регулярные выражения
    Передача Client ID в GA
    Междоменное отслеживание
    Выгрузка отчетов в Google Docs

Результат: Научимся продвинутым навыкам, которые будут выделять вас среди других интернет-маркетологов

ЗАНЯТИЕ 14. Профессиональные фишки II

    Инструменты отладки GA
    Measurement Protocol
    Чек-лист по настройке Google Analytics

Результат: Прокачаем скиллы по передаче данных оффлайн-событий, а также разберем алгоритм настройки GA перед запуском проекта

ЗАНЯТИЕ 15. Google Data Studio

    Визуализация данных
    Построение отчетов
    Разбор интерфейса
    Примеры отчетов

Результат: Научимся визуализировать отчетность, строить красивые дашборды для руководства и планерок

ЗАНЯТИЕ 16. Круглый стол

    Вопросы и ответы
    Кейсы
    Предложения по улучшению



Результат: Обратная связь от учеников с целью улучшения курса",https://convertmonster.ru/google-analytics,
Convert Monster,Smm-маркетолог: как привлекать клиентов из социальных сетей в 2019 году (+Транскрибация) (2019),"Пошаговый план продвижения вашего бренда в социальных сетях от разработки SMM-стратегии до аналитики

На вебинаре вы:

получите общую системную картину продвижения вашего бренда в основных социальных сетях.
узнаете об основных инструментах, которые позволяют делать эффективный маркетинг, и получите полезные материалы для работы.
узнаете, какими знаниями и навыками должен обладать компетентный SMM-специалист.
поймете, куда двигаться дальше, чтобы стать профессионалом в SMM и найти удаленную работу с доходом от 60 000 руб. в месяц.
ПРОГРАММА ВЕБИНАРА

Как построить эффективную SMM-стратегию
Как найти Целевую Аудиторию, которая готова купить ваш продукт
Стратегия продаж: как увеличить прибыль из соцсетей
Контент-план на 30 дней: что, как и с какой периодичностью публиковать
Формирование комьюнити вокруг бренда
Аналитика и масштабирование: основные метрики и принципы оценки результата",https://convertmonster.ru/edu/webinar0605,
Convert Monster,Instagram-маркетолог (2019),,,
,,,https://convertmonster.ru/SMM-manager-live/,
Convert Monster,"Специалист по трафику, Трафик менеджер (2018)","Трафик-менеджер — ключевая фигура интернет-проекта.
Главная задача специалиста по трафику — найти целевого посетителя и конвертировать его.
Для этого у него есть огромное количество инструментов:

контекстная и таргетированная реклама;
партнерские программы;
тизерные сети;
рассылки;
видеомаркетинг;
аналитика.
С их помощью он генерирует мощный поток потенциальных клиентов, которых ведет в выбранном направлении — на сайт, лендинг или блог.
Таким образом, трафик-менеджер — это человек, который приносит компании реальные деньги и без которого любой интернет-проект обречен на провал.",https://convertmonster.ru/traffic-manager-live/,
Convert Monster,Тренды интернет- маркетинга 2020 (2019),"Предварительная программа конференции

ПЕРВЫЙ БЛОК: 
Аналитика. Отдел продаж. Автоворонки. Контент маркетинг

Воронка в Instagram на 25 000 лидов и средним чеком 450 000 руб. в B2B
Антон Петроченков, Convert Monster

Интеграция контент маркетинга в прямую таргетированную рекламу
Роман Кумар Виас, Qmarketing

Из ноунейма – в бренд
Кир Уланов и Денис Каплунов, Marketing Gamers и «Студия Дениса Каплунова»

Модели отдела продаж для эффективной обработки клиентского потока
Михаил Гребенюк, Grebenuk Resulting

ВТОРОЙ БЛОК: 
Мессенджеры. Smm. Facebook. Звонобот

Боты! Современные рабы, делающие все черновую работу за господина.
Николай Харин, F1golos

Боевой мессенджер-маркетинг 2020
Егор Герасимов, WhatsApp-маркетинг

Как сделать 10х в бизнесе с помощью трафика
Тарас Левчик, Traffic Master

Как построить личный бренд специалиста в социальных сетях? Что я понял за 6 лет работы
Дмитрий Румянцев, Эксперт по продвижению в социальных сетях

Фишка #1
Панельная дискуссия

Вас ждет 60-минутный баттл на самую каверзную тему в российском маркетинге

Вы получите новые актуальные и применимые знания, посмотрите на проблему с разных сторон и определитесь в своем мнении.

Фишка #2
Чек-листы от каждого спикера

Вы получите чек-листы по внедрению в свой бизнес работающих инструментов в областях и маркетинговых каналах, которые дадут вам наибольшую отдачу в 2020 году: контент-маркетинг, социальные сети, чат-боты и мессендежеры

На выходе у вас будет пакет документов по оптимизации маркетинга в формате «делай раз — делай два».",https://trend2020.convertmonster.ru/,
