author,name,desc,detail,dwnld
Дмитрий Клещёв,Создание вкусных видео на телефоне за 5 минут (2019),,https://www.dimapravvideo.ru/,https://cloud.mail.ru/public/3WDJ/2AEgGekNp
Джоэль Граймс,LIT UP,,https://studyfoto.ru/store/?route=product/product&path=61&product_id=82,"https://yadi.sk/d/mHHa-5dGe9DMTA
Пароль: infosliv.ru"
Александр Дмитров,Создание StopMotion видео. Полный курс (2020),,,https://cloud.mail.ru/public/Gdwn/2Kw4URh7w
Сергей Верес,,,https://sveres.ru/courses/osnovy/fotoshop-s-nulya-startovyy-prodvinutyy-professionalnyy/,https://cloud.mail.ru/public/2Mk6/nDkacd9TD
Кузина Наталья,Стоковое видение,,http://foto-stocker.com/5live,"https://drive.google.com/open?id=1barXNF2R44ZKVaGgcteTmxY2_2-_ofXl
https://drive.google.com/open?id=1rBfD4W6khH0PIUghn7mGrDFH1lSRKePv
Пароль
2af_3E8yGySK9rvDS"
A. Kennedy,"Avid Media Composer 5: ""Getting Started"", ""Essential Training""",,https://community.avid.com/forums/p/84759/812277.aspx,https://mega.nz/#F!JxoQmaKI!CG84XO0ApnKwer0MlJIQNQ
Max Twain,Урок Cola,,https://www.maxtwain.com/,https://cloud.mail.ru/public/5mLX/3dCMtmfVn
С. Панферов,"Adobe Premiere Pro CS5.5-CS6. ""Хитрости Монтажера""",,https://adobepremierepro.ru/tricks/,https://yadi.sk/d/U1yvLFCojzTou
Даниил Величко,Съемка. Ретушь. Продвижение (2019),"Мой дебют: «Съемка, ретушь, продвижение»
⠀
Вы увидите все этапы: от постановки света и съемки - до ретуши! Расскажу как я готовлю фотографии к публикации в социальных сетях и о том, как я делаю свои уже легендарные бесшовные карусели из портретов.
⠀
Поделюсь своим опытом по поводу продвижения и позиционирования, а так же наверняка между делом проболтаюсь о профессиональных секретах, о которых говорить не планировал",http://instagr.am/p/B3ZyC1chEuI/,https://cloud.mail.ru/public/3eiM/3yJm4XWY2
EDIUS,10 полезных советов в EDIUS,,скачать ниже,"1)https://cloud.mail.ru/public/Ju3i/FUwGm9DAJ
2)https://drive.google.com/uc?id=1stUOeQG2XpzCy1FwttNHvpbfRPCgAQQA&export=download"
Антон Уницын,Секреты портретной съёмки (2019),"Съёмка портретов – сложный жанр, который имеет кучу нюансов и секретов. Ему нужно учиться. Умение работать с моделью, видеть кадр, импровизировать, вкладывать в снимки глубину и смысл пригодятся вам везде, где в кадре оказывается человек. Как раскрыть характер героя, как работать с позами, как использовать дополнительный реквизит, как раскрепостить модель, как найти собственный стиль. Об этом и многом другом узнаете из этого курса.

Программа:

Часть 1. Введение в портрет:

1.1. Портрет, как базовый жанр фотографии
Наряду с пейзажем и стрит фотографией, портрет можно отнести к базовым жанрам. По сути, все остальные жанры образуются смешением базовых. Таким образом, овладев базовыми жанрами, мы во многом овладеваем фотографией.

1.2. Что мешает нам сформировать свой стиль
Во всем есть свои правила. Но чрезмерно жесткое им следование обретает фотографию на предсказуемость. А искусство должно быть неповторимо. Как нарушать правила и сформировать свой собственный стиль.

1.3. Новые подходы при съёмке портрета
Основная масса портретной фотографии сегодня развивается в области передачи фактуры героя. Ищем перспективные области для развития и самореализации

1.4. Основная идея курса. Как применять ее в любой области фотографии, где в кадре находится человек
Как перенести навыки, натренированные на примере портрета на другие области фотографии, где в кадре находится человек.

Часть 2. Теория. Технические особенности съемки:

2.1. Как ловить момент. Тонкости работы с фокусировкой камеры
Человек раскрывает свой внутренний мир в коротких мгновениях во время съемки. Как не упустить момент, и поймать то самое состояние?

2.2. Методика съемки в покадровом фокусе
Снимаем в покадровом фокусе. Ограничения, возможности, методика использования.

2.3. Методика съемки в следящем фокусе
Тест камеры. Методика съемки, условия, когда необходим данный вид фокусировки.

2.4. Передача состояния через эмоции и психофизику
Как снимать людей. Как усиливать впечатление зрителя от изображения. Способы передачи состояния человека.

2.5. Задачи при работе с разной крупностью планов: общий, средний, крупный
Какие особенности в работе с разной крупностью планов? Что будет работать на крупном плане, а что на общем? Строим план съемки.

2.6. Работа с моделью. Как раскрыть человека. Подготовка героя к съемке
Способы взаимодействия с моделью. Стратегия съемки.

Часть 3. Практика. Работа с мужской моделью:

3.1. Циклорама, белый фон. Работа с общим и средним планом
Начинаем с общего плана. Решаем задачи по созданию для модели комфортных условий. Задачи первого этапа съемки.

3.2. Работа с движением, динамикой
Формируем понятные задачи для модели, в ходе которых будет смещен фокус с факта съемки на моторику выполнения определенных движений.

3.3. Передаем состояние через психофизику
Работаем с позой модели. Создаем выразительность в обычных движениях. Ловим момент.

3.4. Использование ассоциативных предметов
Используем реквизит, принести который была одна из задач модели. Реквизит предварительно согласовывается.

3.5. Более крупные планы. Добиваемся искренности эмоций
Сокращаем дистанцию съемки. Как войти в личное пространство и остаться незамеченным. Нижний ракурс съемки

3.6. Черный фон с импульсным светом. Работа со средним и крупным планом
Специфика работы с импульсным светом. Движение в кадре.

Часть 4. Практика. Работа с женской моделью:

4.1. Циклорама, белый фон. Работа с общим и средним планом
Начинаем с общего плана. Решаем задачи по созданию для модели комфортных условий. Задачи первого этапа съемки.

4.2. Работа с движением, динамикой
Формируем понятные задачи для модели, в ходе которых будет смещен фокус с факта съемки на моторику выполнения определенных движений.

4.3. Передаем состояние через психофизику
Работаем с позой модели. Создаем выразительность в обычных движениях. Ловим момент.

4.4. Использование ассоциативных предметов
Используем реквизит, принести который была одна из задач модели. Реквизит предварительно согласовывается.

4.5. Более крупные планы. Добиваемся искренности эмоций
Сокращаем дистанцию съемки. Как войти в личное пространство и остаться незамеченным. Нижний ракурс съемки

4.6. Черный фон с импульсным светом. Работа со средним и крупным планом
Специфика работы с импульсным светом. Движение в кадре.

Часть 5. Практика. Пример реальных коммерческих съемок неподготовленных моделей:

5.1. Съемка первой мужской модели
Работа по стандартной схеме. Циклорама, постоянный свет, общий и средний план, черный фон, импульсный свет, средний и крупный план.

5.2. Съемка второй мужской модели
Работа по стандартной схеме. Циклорама, постоянный свет, общий и средний план, черный фон, импульсный свет, средний и крупный план.

5.3. Съемка третьей мужской модели
Работа по стандартной схеме. Циклорама, постоянный свет, общий и средний план, черный фон, импульсный свет, средний и крупный план.

5.4. Съемка женской модели
Работа по стандартной схеме. Циклорама, постоянный свет, общий и средний план, черный фон, импульсный свет, средний и крупный план.

Часть 6. Обработка. ЧБ:

6.1. Работа в Lightroom
Импорт, работа с пресетами. Настройки пресетов под конкретную камеру и съемку

6.2. Способы ускорения работы
Используем особенности съемки для ускорения работы. Как ускорить обработку JPG

6.3. Быстрая ретушь в Photoshop
Используем PS для ретуши. Быстрые способы исправить недостатки модели и ошибки допущенные при съемке.

6.4. Коррекция светов и теней
Как сделать картинку дорого выглядящей. Добиваемся плавности тональных переходов

6.5. Работа с участками кадра
Градиентные фильтры. Работа с кистиями. Локальный контраст, баланс белого, экспозиция, защита светов и теней

Часть 7. Обработка. Цвет:

7.1. Переделываем серию в цвете
Специфика работы пресетов в цвете и чб. Разница в экспозиции и контрасте. Как мы видим пересвет в чб и в цвете.

7.2. Контроль качества
Контрольный просмотр серии. Мелкие коррективы.

7.3. Итоги съемки
Подведение итогов. Предоставление результатов заказчику.",https://unitsynonline.ru/portret/,https://cloud.mail.ru/public/KHW4/rYFcr2eLZ
Алексей «Зима» Курочкин,VideoHive для моушн-дизайнера. От новичка до студии (2019),"Первый большой видеокурс Motion Media Group о работе на международном стоке VideoHive! Автор — один из самых “скороспелых” элитных авторов VideoHive. Самостоятельно вышел на доход 10 000$ в месяц, один из первых организовал командную работу над проектами и собственную студию, которая производит темплейты для покупателей со всего мира. Занимает 21 строчку в топе авторов VideoHive, из более чем 9 900 участников.

Для кого этот курс:

Для моушн-дизайнеров со средним и высоким опытом работы в Adobe After Effects (от 1 года), которые хотят попробовать себя на стоках.
Для тех, кто работает на VideoHive, испытывает проблемы с идеями, реализацией или мотивацией, и хочет их преодолеть.
Для успешных авторов, которым интересен опыт коллег.
Для тех, кто считает, что заходить на VideoHive уже поздно.

Мы НЕ будем тратить время на изучение интерфейса After Effects, создание эффектов, регистрацию на сайте и всё то, что может сделать любой новичок без нашей помощи, у нас совсем другие задачи!

Что же будет в курсе:

Дизайн, поиск идей и решений для конкретной отрасли моушн-дизайна — стоковых площадок и шаблонов Adobe After Effects.
Основы теории изобразительного искусства с прицелом на моушн-дизайн, о чем не рассказывают в туториалах.
Всеобъемлющий инсайд от топового автора VideoHive: о стратегиях и анализе рынка, о нынешних трендах и целевой аудитории.
Практический опыт успехов и ошибок, преодоления проблем, роста от новичка к дизайнерской студии на VideoHive.

Курс состоит из 20 видеоуроков-лекций, которые объединены в 5 частей, общей продолжительностью около 9 часов.


Программа курса:


Часть 1 — Изучаем нюансы Энвато:

Урок 1. Немного о мотивации и отношении к работе
Урок 2. Энвато: все ресурсы и возможности для авторов
Урок 3. Продвижение проектов. Требования и “плюшки” Энвато
Урок 4. Правила и подводные камни Энвато

Часть 2 — Строим стратегию работы:

Урок 1. Что изменилось за последние 5 лет на рынках Envato
Урок 2. Изучение площадки, анализ рынка
Урок 3. Выбор стратегии для работы на VideoHive
Урок 4. Выбор подходящей тематики, планирование работы

Часть 3 — Восполняем пробелы в образовании:

Урок 1. Работа с цветом
Урок 2. Композиция и форма
Урок 3. Работа с текстом в проектах для VideoHive
Урок 4. Поиск визуальных решений

Часть 4 — Принципы работы с разными категориями проектов:

Урок 1. Открывашки
Урок 2. Корпоративные пакеты
Урок 3. Бродкаст-пакеты
Урок 4. Продукт промо

Часть 5 — Загружаем и продаем проекты:

Урок 1. Структура больших и маленьких проектов, модульные проекты
Урок 2. Подготовка проекта к загрузке. Загрузка проекта
Урок 3. Работа в команде, мой опыт, ошибки и трудности на пути
Урок 4. Дополнительные инструменты, поддержка покупателей, фриланс со стоков",https://motionmediagroup.net/,https://cloud.mail.ru/public/2ThY/c1YAK49r8
Erin Elizabeth Hoskins,Фотосъемка новорожденных при естественном свете,"Видео по съемке новорожденных. Рассмотрено все от выбора места и света до объективов, позирования, обмоток и обработки некоторых кадров. Отдельно есть видео с уроком, как снимать, если ребенок постарше и не спит, как снимать с братьями и сестрами, родителями. К урокам прилагается пдф файл с различными световыми схемами при съемке. Запись на английском языке, но даже без знания языка все очень понятно и доступно. Будет полезно тем, кто снимает новорожденных в домашних условиях или в студиях с естественным светом.



Спойлер: Erin



Erin Elizabeth Hoskins - один из самых признанных фотографов новорожденных в Австралии. Она  аккредитованный член Австралийского института профессиональной фотографии. Эрин снимает новорожденных, используя 100%  только естественный свет.",https://erinelizabeth.com/,https://cloud.mail.ru/public/3UrH/exb5EE12u
Matthew Hount,Создание комиксов,"Многие из нас начиная рисовать мечтают когда-нибудь нарисовать свою, чудесную историю которая покорит сердца сотен тысяч читателей. Но с чего начать? Как сделать историю интересной, как заставить себя начать рисовать и писать этот огромный, колоссально большой труд? Как сделать первый шаг и, что самое главное, куда?

Этот курс призван не только объяснить самые важные моменты работы над историей, раскрыть правила по которым живут комиксные панели и пузыри текста, как они могут помогать и мешать повествованию, но так же мотивировать вас.
Показать, что какой бы сложной не казалась задача, приложив немного сил, терпения и не ленясь потихоньку шагать к цели, вы сможете добиться своего и выпустить авторский комикс.

Курс рассчитан на два месяца. Потихоньку, аккуратно и нежно пользуясь лекциями и выполняя задания вы сможете создать свою первую (а может вторую?) историю.
Прощупать изнутри, как это: создавать комиксы?

Для кого этот курс:

Курс рассчитан на художников начального и среднего уровней.",https://www.udemy.com/course/comixcreating/,"https://cloud.mail.ru/public/31Dw/Kxew2FEdU

Пароль на архив: fbS%TTP2vTFY"
Антон Камнев,Базовый курс профессиональной ретуши v.3,,https://kamnevschool.ru/retouch_course,https://cloud.mail.ru/public/4e14/5h5UkEmS5
Александр Медведев,Медведевский Фото-Клуб Рай. Январь (2020),"Обсуждение работ и развитие в компании единомышленников — и это просто бесценно.

Только новое от меня
Новые увлекательные знания каждый месяц, включая и модные темы, и глубокие вечные вопросы.

Индивидуальный подход
Расширять свой кругозор и прокачивать вкус: хорошее “питание” очень важно. К вашим услугам будут интересные гости и их коммерческие и творческие успехи, анонсы.

Постоянный рост
Возможность расти на практике участвуя в конкурсах, делая съемки, сравнивая результаты и получая разборы своих работ, ошибок и удач.",http://www.medvedevphoto.ru/,https://cloud.mail.ru/public/3Mq5/2tYyXBmxh
Дарья Калугина,2 курса по фуд-фото + 6 интенсивов + курс по Photoshop (2020),"Курсы и интенсивы по фуд-съёмке мы создали в тандеме с известным фуд-фотографом:

Дарья Калугина
Её работы вошли в эксклюзивный сборник журнала «Эрмитаж», она снимала для сети ресторанов Parmigiano Group, бара-ресторана CitySpace, компаний Lindt, Raffaello и пр.

Кого мы ждем?

Увлечённых фотолюбителей
Идеально для тех, кто ищет трендовое хобби и любит вкусно покушать.
Кулинаров и блогеров
Собственные фуд-кадры пропиарят вас лучше платной рекламы.
Профессионалов, заинтересованных в фуд-съёмке
Это быстрая монетизация вашего творчества через стоки, сотрудничество с ресторанами.
Что входит в пакет?
Изучаем основы

Курс «Фуд-фотография. Основы»
Доводим снимки до совершенства

Курс «Photoshop CC. Основы»
Нарабатываем портфолио

6 интенсивов: съёмка кекса, горячего шоколада, мёда и веренья, торта, пасты и овощных блюд
Монетизируем навыки

Курс «Ресторанная съёмка»

 Что вы получите после обучения?

Отточенные навыки фуд-съёмки и постобработки
Портфолио с аппетитными кадрами
Знание внутренней кухни профессии фуд-фотографа
Чёткое понимание, как работать с клиентом и достойно зарабатывать",https://photo.fotoshkola.net/all-food,https://cloud.mail.ru/public/3NCC/2LpAgvMPp
Александр Свет,CAPTURE ONE PRO 20: БЫСТРЫЙ СТАРТ,,https://liveclasses.ru/course/photo/capture_one_pro_20_quick_start/,https://cloud.mail.ru/public/2XQW/5q3BoRsVb
Дмитрий Ларионов,Теория монтажа: базовый уровень (2019),"Это фундаментальный онлайн-курс для монтажеров, закладывающий основы профессии. Курс состоит из двух частей — базового и продвинутого уровня и совместим с любыми курсами по монтажным программам, которые читаются у нас в школе.

О том, как монтировать, сегодня можно узнать на самых разных курсах и практикумах. Монтажные системы соревнуются друг с другом, выпуская обновление за обновлением — и вот вы уже пытаетесь «пересесть» на систему «посерьезнее». И вроде все правильно. За исключением одного. Что именно делать с конкретным материалом, программа вам не подскажет. Кино — это правила, традиции и законы. Это принципы и целые школы, это понимание драматургии и умение передать её инструментами монтажа. Хорошая новость в том, что мы уместили пятилетнюю программу специальных вузов в два уровня академической теории, и это — первая часть.

Вы поймете, из чего состоит фильм и освоите терминологию, которая уляжется в вашу голову в виде конкретных приемов. Что такое «восьмерка» и «ось взаимодействия», почему ее нельзя пересекать, и что будет, если, всё же, ее пересечь? Что такое «флорплан» и как его рисовать? Что такое внутрикадровый монтаж и что такое «монтаж без монтажа»? Как, наконец, выглядит пресловутый эффект Кулешова и почему тарелка с супом — это далеко не полное его описание? Вы разберете ошибки правила непрерывности и посчитаете дырки на куртке Терминатора, бутылки в руках Джоуи из «Друзей» и кексы на столе Хью Гранта. Увидите, зачем нужно «липкое» внимание, и что с его помощью можно прилепить. Выясните, что такое «эллиптический» монтаж, почему он так называется и при чем тут вообще эллипсы.

Курс снабжен захватывающими домашними заданиями и их последующими разборами, которые перевернут ваше представление о кино. И именно с этих позиций вы сможете заниматься монтажем профессионально.

ЧЕМУ ВЫ НАУЧИТЕСЬ?
Находить выход из тупиковых ситуаций, возникающих на практике в монтаже.
Разбирать «на запчасти» сцены из фильмов и приемы, использованные в них.
Оценивать «монтируемость» сцены даже до начала съемок.
Планировать интересные монтажные приемы еще на этапе раскадровки.
Составлять грамотные комментарии к монтажу в процессе внесения правок.
Анализировать монтажные ходы и понимать принципы их работы.
Наслаждаться красотой монтажа в любых фильмах, которые вы смотрите.",https://www.profileschool.ru/category/video/course_theory_editing,https://cloud.mail.ru/public/39yw/2bVLQCcrB
