author,name,desc,detail,dwnld
"Рамазан Миндубаев, Альберт Сафин, Дмитрий Булатов",Светлая сторона продвижения сайтов (2018),"«В чём некомпетентен, в том уязвим».

В книге вы получите пошаговую систему создания и роста трафика, заявок и денег при помощи продвижения в поисковых системах.

Книга будет полезна:

– владельцам бизнеса;
– начинающим предпринимателям;
– техническим специалистам;
– маркетологам.

Отныне вы сможете создавать поток заявок и денег, где бы вы ни были. Вам больше не придется носить воду в вёдрах – вы построите свой водопровод.",https://www.litres.ru/albert-safin-1711424/svetlaya-storona-prodvizheniya-saytov-poshagovaya-ins/,https://cloud.mail.ru/public/hHYB/55tYT8wYR
Signum,Зарождающиеся тренды и хайпы (февраль 2020),,,https://cloud.mail.ru/public/2JfJ/5jM5Sm1a2
HTML ACADEMY,Создание семантической разметки по макету. Тариф «Полный комплект» (2020),,https://htmlacademy.ru/skills/semantic-markup/payment,https://cloud.mail.ru/public/55Bx/wwwWHr6ki
,Screaming Frog SEO Spider 5.1,,https://www.screamingfrog.co.uk/seo-spider/,https://yadi.sk/d/5Ko0BeZzrqdfT
,,,,
Андрей Громов,Как настроить рекламу Гугл Адвордс? (2018),"Вы научитесь настраивать рекламные кампании с нуля и задействовать все возможности Адвордс. Данный видеокурс является записью рекламной кампании для сайта Зетсветильник.

Искусственный интеллект
на службе вашему бизнесу
Нет никаких сомнений в том, что самый большой в мире поисковик, имеет самую продвинутую рекламную систему. Неважно, какой у вас бизнес – Адвордс найдет вам клиентов. Главное, правильно ее настроить. Как это сделать , я вам объясню в своем видеокурсе, на простом и понятном языке.

Искусственный интеллект
на службе вашему бизнесу
Нет никаких сомнений в том, что самый большой в мире поисковик, имеет самую продвинутую рекламную систему. Неважно, какой у вас бизнес – Адвордс найдет вам клиентов. Главное, правильно ее настроить. Как это сделать , я вам объясню в своем видеокурсе, на простом и понятном языке.

В чем суть настройки Адвордса для малого бизнеса? 
Все, что я нашел в роликах на Ютубе, видеокурсах, статьях, подходит, в основном, для крупного бизнеса с рекламным бюджетом от 300 тыс. рублей в месяц. Для маленькой фирмы, а тем более, для начинающего предпринимателя, это НЕ ГОДИТСЯ.

Посудите сами. Тренеры по настройке контекстной утверждают, что нужно:

Собрать минимум 10 000 ключевых фраз
Составить 10 000 объявлений
Подключить Метрику или Гугл Аналитикс
Сделать анализ рекламных кампаний
Отключить неэффективные объявления
Если речь идет о большом интернет-магазине, с тысячами товаров, на рекламу которых выделяются миллионы рублей, то тут все нормально. Вопросов нет. Всем этим будет заниматься рекламное агентство, со штатом подготовленных сотрудников. Даже если они сделают работу плохо, результат все равно будет. Сработает закон больших чисел и больших денег.

А теперь, представим предпринимателя (например, меня), который решил продавать всего-навсего один товар – настольный светильник с аккумулятором. ОЧЕВИДНЫХ ключевых запросов, которые реально могут принести заказы, ну никак не может быть 10 000 штук. Их всего-то 3-5. Вот они:

настольный светильник с аккумулятором
настольная лампа с аккумулятором
аккумуляторный настольный светильник
настольная лампа на батарейке
настольная лампа для чтения
Все! Больше ключей не существует. Какие 10 000 объявлений? Уважаемые гуру контекстной рекламы, скажите только честно. Вы САМИ пробовали продать конкретный товар или услугу по 10 000 ключей, вкладывая в рекламу СВОИ деньги? Именно свои, а не деньги рекламодателя.

Правда заключается в том, что даже по ключевой фразе «светодиодная настольная лампа», реклама на поиске, скорее всего, будет убыточной. Эта фраза хоть и имеет отношение к моему товару, но у нее высокая степень неопределенности.

Не понятно, какую именно лампу хочет пользователь. Светодиодных настольных светильников – тысячи разновидностей. Чем выше степень неопределенности ключевой фразы, тем выше стоимость заказа. Это значит, что по фразе «светодиодная настольная лампа» я смогу продать настольную лампу с аккумулятором. Но заработаю я на этом 1000 рублей, а на рекламу потрачу 3000.

А теперь, подумайте, что произойдет, если дико запариться и собрать хотя бы ключей 500 (спарсить все, что есть в Вордстате, перемножить слова, добавить к фразам окончания, взять ключи из смежных тематик)?

Произойдет следующее. Деньги на счету компании начнут сгорать с огромной скоростью. Стоимость заказа будет в 5-10 раз превышать прибыль с его продажи.

Ни о какой аналитике даже и речи быть не может. Чтобы получить данные для анализа нужно будет потратить минимум 750 000 рублей (по 100 кликов на каждое объявление, в среднем по 15 рублей)

Как вы думаете, насколько это все реально для малого бизнеса в домашних условиях? Вооооообще, не реально ни грамма. А как быть?

Первое. Начинайте с 1-3 ключевых фраз. Самых очевидных. С самой низкой степенью НЕопределенности. Например:

настольный светильник с аккумулятором
джинсы женские для нестандартной фигуры
сумка мужская из натуральной кожи
ремонт холодильников самсунг на дому
сапоги женские зимние италия
Второе. Создайте отдельные кампании: Москва – регионы, Поиск – Сети, Ноутбуки – Смартфоны. Смотрите в Метрике, какие кампании приносят больше денег и повышайте в них ставки.

Третье. Для рекламных объявлений в СЕТЯХ сделайте 3-5 разных картинок. Через 3 дня сформируйте отчет и посмотрите какие картинки самые заметные (по ним чаще кликают). Оставьте две самые лучшие, остальные отключите.

Четвертое. Настройте правильно ретаргетинг и ремаркетинг (это объявления, которые догоняют тех посетителей, которые заинтересовались товаром, но не оформили заказ). Правильно настроить, это значит точно вычислить тех, кто проявил интерес и направлять их на страницы с описанием преимуществ товара.

Пятое. Поставить максимальное ограничение на расход средств компании. Чтобы в день на рекламу тратилось не более указанной суммы.

В итоге, получится реклама, которая расходует МАЛО денег и приводит МАЛО посетителей. Но фокус в том, что все посетители ЦЕЛЕВЫЕ. Это люди, которые целенаправленно ищут товар или услугу.

Например. На сайте Зетсветильник продается настольный светильник с аккумулятором. На него заходят только те люди, которые ищут настольный светильник с аккумулятором. Как вы думаете, какова вероятность, что они купят? Самая высокая, какая только может быть.

Да, потока посетителей не будет (как это обещают гуру). Но зато будут капать заказы! Кампания для МИМа Зетсветильник приносила всего 1-3 заказа в день. Вроде, не много. Но за месяц накапало чистой прибыли 105 тысяч рублей. Это с одного товара. Что мешает расширить ассортимент?

Вот это есть краткая суть настройки рекламной кампании для малого бизнеса. Подробно и по шагам – в видеокурсе.
А не проще ли заказать настройку у специалиста?
Проще. Если он действительно специалист. Но узнать вы это сможете, только после того, как потратите деньги и увидите результат. Скорее всего, результат будет плохой. Но вам скажут, что проблема не в Гугл Адвородс, а в вашем товаре. Типа он неконкурентный.

Дело в том, что сейчас, развелось много специалистов по контекстной рекламе. Проходят какой-нибудь коучинг и считают себя спецами. Действуют по единому шаблону, не думая.

Вот вам недавняя история...

Мой приятель продает скотч оптом. Звонят ему из одной распиаренной конторы, которая у всех на слуху (уверен, вы о ней слышали). Мол, увеличим продажи в пять раз. Бред, конечно... Но контора известная, говорят убедительно, показывают отзывы довольных клиентов. Ладно, уговорили, давайте!

Сделали лендос, настроили и запустили контектную. Утром на счету было 20 000 рублей. Вечером – ноль... На следующее утро, ему звонят, довольные такие. Ну, как? Смотрите, какой мы вам поток клиентов обеспечили. А смотрите CTR какой высокий! «Это да... Но не было ни одной заявки, ни одного звонка, а 20 тысяч улетело за день...» – ответил приятель.

Позвонил мне. Посмотри, говорит, что не так. Может и правда, предложение у меня не выгодное. Вон сколько людей зашло на сайт и никто даже не позвонил.

Начал разбираться. Напоминаю, приятель продает СКОТЧ ОПТОМ. Это клейкая прозрачная лента. Его клиенты – компании, которые потребляют МНОГО скотча для упаковки изделий. Обычные люди, которые покупают один рулон для домашних нужд, НЕ являются его клиентами.

Так вот, кампания была настроена по всем канонам «классики». Три тысячи ключевых фраз и три тысячи объявлений. Откуда можно взять столько ключей в нише скотч оптом?

А все очень просто. Они взяли ВСЕ существующие фразы со словом СКОТЧ. Интересно, какова вероятность продать СКОТЧ ОПТОМ по ключам:

чем оттереть скотч
связанная скотчем девушка
скотч для тачскрина
И всё в таком духе. Но это еще не самое крутое. Они также использовали ключи, в которых слово «скотч» означает породу собаки и алкогольный напиток. В итоге, за день на сайт зашло 2000 посетителей. Они искали фильмы, в которых девушек связали скотчем. Способ, как оттереть скотч от стекла. Как лечить скотч-терьера. Из какого бокала пить скотч. Но никто из них не искал СКОТЧ ОПТОМ.

Еще раз. Эту настройку делали в известной распиаренной конторе. Я бы не поверил, что такое возможно, если бы не видел все своими глазами. Это запредельный уровень пофигизма. И это прокатывает для таких клиентов, как мой приятель. Он вообще не понимает, как работает контекстная реклама. Поэтому, прежде чем заказывать у специалиста, нужно научиться самому. Чтоб не на...али.
Я считаю, что контекстная реклама раздражает людей
Всё, что люди получают бесплатно, окупается за счет рекламы. Гугл – это сложнейшая, дорогостоящая технология поиска информации. Но мы пользуемся им бесплатно. Откуда взять деньги на содержание и развитие? С рекламы, конечно. А если она раздражает, то не пользуйся Гуглом.

Давайте рассуждать здраво. Допустим, я весь такой правильный, не хочу раздражать людей, поэтому контекстную рекламу в Гугл Адвордс не использую. И каким образом я сделал этот мир лучше? Нет моего объявления, есть чьё-то другое. Оно все равно будет показываться.

Я считаю, что людей раздражает та реклама, которая к ним не имеет отношения. Как в примере выше. Человек ищет, как лечить скотч-терьера, а его догоняет реклама скотча с логотипом. Если правильно настроить, раздражения не будет.

Посоветуйте, как подбирать картинки для КМС?
Провел много тестов с картинками и пришел к однозначному мнению. Никакой логики, смысла и системы в подборе картинок не существует. Берите не задумываясь 3-5 разных картинок и тестируйте (такая возможность в Адвордс есть). Через день-два понятно, на какие картинки люди обращают внимание.

Что я получу после оплаты? Чему научусь?
После оплаты, вы на почту получите ссылку. По ней вы скачаете видеоуроки по настройке Гугл Адвордс. Вы научитесь:

Настраивать кампании на поиске
Настраивать кампании в КМС
Настраивать Видеорекламу на Ютубе
Настраивать ремаргетинг (объявления-догоняшки)
Настраивать отдельные кампании для мобильных устройств
Настраивать цели в Гугл Аналитикс",https://startmim.ru/10-Kursy/13-kak-nastroit-google-adwords.htm,https://yadi.sk/d/WOXEhIOopDx28Q
,500seo2018: Как готовить LSI статьи с максимальным потенциалом / Продвинутая SEO оптимизация,,,https://cloud.mail.ru/public/4AbV/2Z76Gd3nr
Анна Ященко,ТОП База 45 - обновление от 29 апреля 2019,,https://topbase.ru/,https://cloud.mail.ru/public/2oR1/3kUuGLR3K
"Ирина Мурадова, Роман Мурадов",Модель экспертных продаж (2020),,https://club.irm.im/web/expert.php,"https://cloud.mail.ru/public/2xsR/dfvsFzRqM 





Спойлер: Тыкни! Здесь кое-что есть!



Записывайся на складчину по курсу Продвижения в Инстаграмме. Нужно набрать 30 участников каждый из которых обязан оплатить взнос 600 руб, когда набирается нужная сумма организатор покупает и раздает курс. Осталось набрать ещё немного участников, записывайтесь."
WebPromoExperts,SEO Day (2019),"Программа конференции «SEO Day»
10:00 - 10:30
Как попасть в топ-3 и увеличить трафик в 10 раз за год в конкурентной нише? Кейс vikna.ua
Татьяна Пухальская, Account manager WebPromo

10:30 - 11:00
Как мы увеличили органический трафик нашего блога в 10 раз за 2 года, и как использовать наш кейс
Николай Чурик, Менеджер по маркетинговым коммуникациям Ahrefs

11:00 - 11:30
Гостевые статьи — как использовать на 110%. От SEO-ссылок до лидогенерации
Игорь Рудник, Руководитель Referr.ru, collaborator.pro

11:45 - 12:15
Построение SEO стратегии с нуля (кейс Ашан Украина)
Маргарита Лавренюк, Digital Manager Ашан Украина
Татьяна Ковальчук, SEO Team Lead в «WebPromo»

12:15 - 12:45
Эффективное ведение блога для получения трафика в США
Михаил Шакин, SEO-специалист, автор блога shakin.ru

12:45 - 13:15
Как продвинуться по высокочастотным запросам
Дарья Хмельницкая, SEO-специалист в SE Ranking

13:45 - 14:15
Фазовый переход между стратами
Владислав Моргун, SEO-специалист в ЛУН & Flatfy

14:15 - 14:45
Инструкция по созданию трафиковых страниц
Артем Пилипец, Руководитель отдела продвижения SEO7 и основатель проекта Школа SEO

14:45 - 15:15
10 редких лайфхаков для оптимизатора в 2020 году
Тимофей Квачёв, Руководитель интернет-агентства TRINET.Group

15:15 - 15:45
Как разделить клики из Google Organic по брендовым и небрендовым запросам
Виктор Ветринский, Основатель SEO Club Ukraine

15:45 - 16:15
В чем должен разбираться оптимизатор, чтобы быть хорошим специалистом
Сергей Кокшаров, Независимый аналитик в области поисковой оптимизации в Фрилансер. Devaka.ru

16:30 - 17:00
SEO-продвижение в рамках ограничений
Алексей Панов, Старший специалист по поисковому продвижению Ingate

17:00 - 17:30
Как найти и дооптимизировать старые статьи на блоге, которые ещё могут выстрелить?
Константин Баньковский, Growth Hacker в Netpeak Software

17:30 - 18:00
Как работать с краулинговым бюджетом сайта
Илья Черепинец, SEO-специалист LeBoutique",https://webpromoexperts.net/conference/seo-day/,https://cloud.mail.ru/public/2o6L/5mBsEGgwT
