author,name,desc,detail,dwnld
Иван Чепурнов,Распродажа курсов,,https://vk.com/wall-162701014_2506,https://cloud.mail.ru/public/rHDp/34ZpAVcWB
Дамир Халилов,SMM профессионал. Пакет Gold (2019),"Программа 24 модуля:

Блок 1. 2 месяца погружения в профессию SMM-специалист

Базовые навыки SMM-специалиста
Работа с контентом
Продвижение в Instagram
Продвижение во Вконтакте
Продвижение на Facebook
Продвижение на YouTube
Таргетированная реклама
Продажи через социальные сети
Оценка эффективности
Дизайн для социальных сетей
Как продавать свои услуги
Блок 2. Получите наиболее полные и объемные знания о том, как работает SMM на самом деле

11 блоков базового курса
Развитие SMM-специалиста
Дополнительные инструменты продвижения
Снижаем стоимость таргетированной рекламы х3
ПроРазработка SMM-стратегии для клиента
Работа с мобильными мессенджерами
Блок 3. Получите самые актуальные знания в SMM для организации своего SMM агенства

Пакет VIP
Новейшие инструменты SMM-продвижения
Построение SMM-агентства с нуля до оборота в миллион рублей в месяц
Личная эффективность SMM-предпринимателя
Как продавать услуги за 100 000+ рублей
Репутационный менеджмент: как нейтрализовать негатив
Методики креативного менеджмента: как придумывать сногсшибательные идеи
Команда для SMM-бизнеса: найм, контроль, руководство
Персональный бренд SMM-специалиста: как обеспечить пассивный поток продаж",http://pro.smm-2019.ru/kurs/,https://yadi.sk/d/DmXFTGI9BbQZfQ
,"#SMMСПЕЦНАЗ - Вконтакте, Facebook, Instagram, myTarget, Youtube",,smmspecialforces.conversion.im,"https://cloud.mail.ru/public/Lx52/EQm8U29p5
Пароль: www.coga.biz"
Павел Гуров,"Основы маркетинга в Instagram, Facebook, Twitter и Telegram (2020)","Автор курса Павел Гуров — знаменитый SMM-специалист, автор стремительного развивающегося канала Gurov Digital и одноимённого подкаста о соцсетях.

В портфеле агентства Павла Гурова и крупные мировые бренды, и микробизнес, и творческие проекты, и компании, нацеленные сугубо на продажи.

Опираясь на личную практику и запросы аудитории, Павел собрал в одном курсе мощнейший базовый материал в доступной и интересной форме, с примерами и рекомендациями, которые вы можете применить уже с первого занятия.




Спойлер: Содержание курса



Курс рекомендован для тех, кто желает упорядочить знания в маркетинге и погрузиться в правильные белые надёжные методы продвижения профессионалов.

Видеозапись поделена на три логические части по 2 часа.








Учебный материал проработан с методистами и отснят в профессиональной студии, чтобы лекции смотрелись легко, а преподавателя было отлично слышно и всё хорошо видно в кадре.


Спойлер: Бонус



Дарим
Пожалуй, самую знаменитую в интернете видеозапись лекции Павла Гурова об инстаграме. Эта лекция по праву считается бестселлером в сети!

Контент
Хронометраж видеозаписи 2 часа 8 минут, традиционно, на странице курса размещены материалы из лекции.

Тезисы

Торговые метки (Shopping Tags).
Бизнес-приложения.
Синяя галочка верификации.
Рекламная карусель из Stories.
Видеоквесты в Stories.
Паззлы в Collections.
Официальные директории хештегов и геолокаций.
Работа с новым алгоритмом.
Профессиональная работа с Highlights.",https://professura.com/base-smm,https://cloud.mail.ru/public/2WSw/ijJ1ef1mE
Церебро Таргет,Обучение от Церебро: активности и продажи (2018),"Первый блок — активация подписчиков
Как получить больше просмотров, при тех же трудозатратах
Вы узнаете как правильно использовать рекомендации по работе с умной лентой, которые позволят при тех же трудозатратах получить в разы больше просмотров ваших постов.

Сколько человек в вашем сообществе? А сколько из них видят выпущенный пост? Скорее всего эта цифра не больше 3-5%, в Церебро это 7-9%. Задаче повышения охвата постов, соблюдениями правил ВК посвящено первое занятие этого блока.

Второй блок — подготовка площадки
Выявим на каких 3х китах базируется продающая группа ВКонтакте.

Как определить целевую аудиторию проекта и выявить ее боли. Работа с ЦереброТаргет.
Разбора универсального алгоритма поиска боли целевой аудитории. Он поможет не только лучше понять потенциальных клиентов и говорить с ними на одном языке, но и быстро сориентироваться в проекте клиента, даже если ты “девушка, которая любит платья, а клиенту нужно продвинуть полигон для страйкбола”.

Блок третий — трафик
Введение в таргетинг ВКонтакте для новичков.
Вы разберетесь во всех возможных способах продвижения ВКонтакте, в чем их плюсы / минусы и за какие можно улететь в бан.

Более глубоко остановимся на таргетинге: как выстраивается конкуренция рекламодателей на аукционе, какие существуют требования к рекламным материалам, как создать и пополнить рекламный кабинет, и какие настройки в нем работают максимально эффективно.",https://vk.com/@cerebro_vk-kurs-ot-cerebrotarget,https://cloud.mail.ru/public/5tzj/WrmAUX2Y4
Мария Солодар,Школа интернет-маркетинга (2018),"За время обучения в Школе Маркетологов вы разберете все темы интернет-маркетинга от копирайтинга до трафика, выполните по каждой из них домашнее задание и получите полноценный фидбек от специалиста.


Также вы научитесь увеличивать прибыль проекта\компания при меньших затратах на рекламу.

Откроете для себя новые термины: апсел, даунсел, кроссел, лонгтейл, ото и т.д., а главное, поймете, как с их помощью делать деньги.

Узнаете, чем отличается продуктовая линейка от воронки продаж и дороги путешествия клиента, и как это все работает в комплексе.

Поймете, что должно быть в вашей емейл-рассылке, чтобы это был полноценный инструмент продаж, а не +1 письмо в папке “Спам”.

Получите детальные структуры и схемы по написанию писем, созданию лендингов, а также разработке воронки продаж.

И конечно же, соберете все эти знания воедино, чтобы заставить маркетинговую машину работать на вас и генерировать прибыль.

А еще вы прослушаете лекции по темам (вы даже не могли подумать, что это все тоже должен знать маркетолог): организация отдела продаж, верстка и программирование страниц, аналитика и др.

После обучения вы будете мыслить стратегически и сможете сопоставить полученные знания с генерацией прибыли.",https://mariyasolodar.com/lp/marketers-school,https://cloud.mail.ru/public/42Cp/4nrGgYwh6
SMM-Школа Republic,Профессия SMM-щик (2018-2019),,http://anonym.to/?http://smm.republicmedia.ru/,https://yadi.sk/d/jJiWJFIFRLgHqA
,,,https://mariyasolodar.com/lp/smm/product/,"Магнет-ссылка: magnet:?xt=urn:btih:1E7A76A73FA8F81FB6238EBAEF94D1A87375B12E
❓ Как скачать файл по magnet-ссылке при помощи µTorrent ❓"
EnjoySMM,Обучение заработку в Инстаграм (2019),,http://enjoysmm.ru/,https://cloud.mail.ru/public/2nRN/5HMqD1zVQ
Александр Алимов,Гиперсегментатор 2.0 (2018),"Единственный практический авторский курс повышения квалификации для специалистов контекстной рекламы по концепции гиперсегментации от основателя YAGLA Алимова Александра.

Здесь вам не станут рассказывать про то, как генерить семантику, структурировать аккаунт, тыкать в кнопочки интерфейса Яндекс Директ и Google AdWords, насколько важен CTR, какой аукцион Яндекс использует для определения цены клика, как обойти модерацию – это все есть в справках Яндекс & Google. Пусть об этом вам расскажут другие...

Готовьтесь перевернуть свое представление о релевантности, конкуренции, правильных маркетинговых связках и подходу к ведению контекстной рекламы в целом!

В результате прохождения курса Вы:

поймете преимущества своего продукта и опишете свою аудиторию. По результатам прошлого курса мы выяснили, что свою аудиторию правильно понимают только 10% собственников и специалистов;
поймете с кем Вы конкурируете;
подготовите все для запуска рекламных кампаний;
научитесь продавать дорогие туры по запросам «деканат МГИМО», видеорегистраторы по запросам «штрафы ГИБДД», а доставку еды по запросам «рецепт плова»;
научитесь с высокой вероятностью конвертировать дешевый околоцелевой трафик в качественных лидов;
классифицируете запросы в своих рекламных кампаниях на поиске;
отранжируете запросы по уровню важности, поймете с кем вы конкурируете;
научитесь повышать вероятности конвертации посетителей из поиска в лидов;
перестанете совершать ошибки, которые совершают 97% специалистов контекстной рекламы;
системно научитесь улучшать показатели рекламных кампаний;
проведете тестирование маркетинговых связок;
поймете как можно даже через несколько месяцев иметь потенциал роста.",http://alimov.info/,"https://cloud.mail.ru/public/291y/YGm3YfjYw
Пароль: www.sharewood.biz"
Павел Гончаров,Обучение профессиональной настройке официальной рекламы в Facebook и Instagram (2020),"Ads Manager

Business Manager

Продолжительность курса: 15 занятий

Программа курса

ВВЕДЕНИЕ: Основные термины и понятия

Профессиональная терминология в таргетированной системе Facebook

1. ПОДГОТОВКА, ПРОВЕРКА САЙТА к запуску рекламной деятельности в Facebook и Instagram

Установка системы веб-аналитики на примере Яндекс.Метрики.
Создание/проверка целей. Основные виды и особенности.
Инструменты анализа и основные показатели готовности сайта к приёму трафика.
Обзор инструментов: вебвизор; карты скроллинга, кликов, ссылок, форм.
Особенности площадки для приёма трафика из Instagram.
Проверка юзабилити воронки заказа. Создание тех.заданий дополнений (при необходимости).

2. БИЗНЕС-СТРАНИЦЫ. ПРИВЯЗКА АККАУНТА Instagram к Facebook

Бизнес-страницы. Их возможности.
Привязываем правильно аккаунт Instagram к бизнес-странице.
Разбор основных ошибок при активации бизнес-профиля Instagram.
Рекомендации – что необходимо добавить в профиль для наилучшего контакта с пользователями

3. АКТИВАЦИЯ РЕКЛАМНОГО АККАУНТА ADS Manager.

Два вида рекламных аккаунтов. Основные нюансы правильной активации.
Атрибуция. В чём её суть и предназначение.
Способы оплаты. Проблемы при подключении платёжной системы.
Блокировки. Что нужно учитывать, чтобы не получить блокировку рекламного аккаунта, бизнес-страницы или личного профиля?
Политика рекламной активности.

4. СОЗДАНИЕ BUSINESS Manager. УПРАВЛЕНИЕ ПРОЕКТАМИ.

Интерфейс Бизнес Менеджера и функционал.
Настройка и управление проектами.
Добавление сотрудников и ресурсов.

5. ИСПОЛЬЗОВАНИЕ кода ПИКСЕЛЯ Facebook при работе с сайтом или только в Instagram

Базовый код пикселя.
Принципы и виды установки.
Коды стандартных событий для сбора информации по действиям пользователя. Особенности корректной установки.
Дополнительные параметры в коде пикселя для работы с динамическим ретаргетингом и не только.
Настройка стандартных событий без дополнительных кодов.
Как использовать данные пикселя, работая только в Instagram. И почему обязательно нужно это делать?!

6. СПЕЦИАЛЬНО НАСТРОЕННЫЕ КОНВЕРСИИ

Особенности использования.
Настройка индивидуальных конверсий, как для простых проектов, так и для многоуровневых.
Создание составных конверсий для отслеживания «нужных шагов» пользователя.

7. Офлайн-события

Принцип работы офлайн событий.
Особенности создания группы офлайн событий. Плюсы и минусы.

8. СОЗДАНИЕ АУДИТОРИЙ

Сохранённые аудитории: геотаргетинг, детальный таргетинг.
Индивидуализированные (они же пользовательские) аудитории: разбор всех видов создания пользовательских аудиторий как для Facebook, так и для Instagram.
Создание аудиторий для ретаргетинга из базы клиентов и без неё.
Создание аудиторий ретаргетинга для Instagram.
Создание аудиторий по дополнительным кастомным параметрам.
Похожие аудитории (Look-a-Like): для чего они нужны и как правильно их создавать?
Как комбинировать различные виды аудиторий для повышения качества рекламной кампании?
Инструмент «Статистика аудиторий». Неофициальный дополнительный функционал и примеры его использования.

9. ЦЕЛИ. ОПТИМИЗАЦИЯ ПЛЕЙСМЕНТЫ.

11 целей рекламных кампаний: разбор функционала.
Особенности алгоритмов оптимизации и не только.
Отличительные особенности, в каких связках их применять.
Особенности применения платформ и их плейсментов.
10. НАСТРОЙКА РЕКЛАМНОЙ КАМПАНИИ.

ФОРМАТЫ ОБЪЯВЛЕНИЙ.

Разбор форматов объявлений. Ресурсы для создания креативов. • Как при помощи рекламы прямых и косвенных конкурентов строить свою рекламную стратегию?

Нюансы по выбору цели и оптимизации.

Карта трафика. Алгоритм создания рекламной кампании от начала до конца.

Использование UTM-меток.

11. ОТЛИЧИТЕЛЬНЫЕ ОСОБЕННОСТИ ЦЕЛИ - ГЕНЕРАЦИЯ ЛИДОВ

Как принимать заявки без сайта!?
Соблюдение Политики конфиденциальности.
Как запустить ЛидГен без политики конфиденциальности.
Как запустить ЛидГен, чтобы можно было забрать контакты лида с телефона,
Автоматизация приёма заявок в CRM-систему.

12. СОЗДАНИЕ «ФУНКЦИОНАЛЬНЫЙ ЛЕНДИНГ» С ТОВАРАМИ НЕ ВЫХОДЯ ИЗ Facebook.

Полноэкранный режим - Instant Experience (Холст) – как использовать его в Instagram

Создание полноэкранной целевой страницы, которая моментально открывается, когда пользователь взаимодействует с рекламой на мобильном устройстве без перехода на сайт.
Связка несколько страниц в многостраничник

13. ЦЕЛЬ - Продажи товаров из каталога. ДИНАМИЧЕКИЙ РЕТАРГЕТИНГ

Все виды создания каталогов товаров.
Партнёрские интеграции, плюсы и минусы систем.
Особенности создания объявлений в динамическом ретаргетинге.
Руководство по настройке интернет-магазинов и запуска трафика на него.

14. Цель - ПОСЕЩЕНИЕ ТОЧЕК

Как использовать цель посещение точек?
Создание несколько точек офлайн магазинов/филиалов.
Особенности настройки объявлений.

15. Особенности ТАРГЕТИНГА в Instagram

Отличительные особенности запуска рекламы из Ads Manager и приложения Instagram.
Все «подводные камни» и пути их обхода.

16. УПРАВЛЕНИЕ РЕКЛАМНЫМИ КАМПАНИЯМИ

Оптимизация бюджета кампании (теперь подробнее).
Сплит тестирование или А/В тестирование. Для чего создан этот инструмент. Когда использовать.
Автоматические правила. Ключевые моменты создания автоматических правил для каждого уровня рекламной кампании. Настройка алгоритмов ведения рекламной кампании на «автопилоте». И прочее.
Управление и передача данных. Использование экспорта/импорта рекламных кампаний.
Быстрое разделение уже действующей рекламной кампании на подсегменты.

17. АНАЛИТИКА

Важные показатели и метрики для эффективной оптимизации всей рекламной кампании. Проводим закономерность выдачи статистических данных.
Статистика доставки: как посмотреть процентное соотношение охвата целевой аудитории. Графики пересечения. Следим за ставками. «Инспектор».
18. ANALYTICS, ОТЧЁТНОСТЬ, БИЛЛИНГ.

Система Analytics. Как пользоваться имеющимся функционалом системы аналитики самого Facebook.

Создание статистики воронок. Как узнать период решения покупки.

Работа с Attribution (сфера деятельности).

Построение отчётности согласно целям рекламной кампании.

Создание автоматических отчётов.

Формирование счетов.

Групповое Обучение:

15 групповых онлайн занятий


Полный обзор инструментария рекламного аккаунта и бизнес-страницы


Видеозаписи всех уроков и разборов с пожизненным доступом


Чек-листы по каждой теме


Разбор домашних заданий в прямом эфире


Закрытый чат для всех учеников выпускников курса


Начало февраль 2020 года

Цена 17 990 рублей",https://pavelgoncharov.pro/,https://cloud.mail.ru/public/3wXU/5jmYPQKrR
Signum,Зарождающиеся тренды и хайпы (декабрь 2019),"Откуда мы берем данные

Мы непрерывно анализируем, что обсуждают люди на форумах, в блогах и социальных сетях. Всего в нашей базе более 100000 источников данных.

Наш алгоритм анализирует темы статей, а также комментарии и лайки под постами, благодаря чему новые тренды удается отслеживать на самых ранних этапах.",signum.ai,https://cloud.mail.ru/public/3CW2/3LSfYwCbG
Школа Монта,Подписчики из социальной сети ВК и ФБ (2019),"Как законно и бесплатно рассылать сообщения ВК в личку
Миллионы пользователей доступны
Всем известно, что без рекламы невозможно успешно развивать бизнес. Один из самых важных вопросов продвижения — инструменты донесения информации. Всем знакомы рассылки по электронной почте, SMS-сообщения. Многие пробовали использовать рассылки через личные сообщения в социальных сетях, но администрация запрещает массовые рассылки в соцсети и блокирует любую рекламную информацию.

Но теперь массовые рассылки ВК доступны легально
Приглашаем вас на мастер-класс школы Монта, на котором вы получите все необходимые знания и навыки для проведения массовых рассылок ВК и для работы с подписчиками.

Вы сможете рассылать личные сообщения пользователям сети в текстовом или графическом формате, а также вставлять в сообщение видео. Сообщения не отличаются от тех, которые привычно получают пользователи. Если электронную почту проверяют не так часто, то сообщения ВК доходят моментально с уведомлением и прочитываются всегда.

Вы сможете продвигать любые товары и услуги вашей аудитории бесплатно (до 150 чел) и в неограниченных количествах за небольшие деньги. На курсе вы научитесь использовать все необходимые инструменты для легальных массовых рассылок ВК.

Приглашаем на мастер-класс преподавателя школы Монта Светланы Молодежниковой.

Предмет, который Светлана ведет в школе, называется Монетизация социальных сетей.

Еще несколько лет назад подписную базу собирали только в e-mail рассылках с помощью дорогостоящих сервисов.

Сегодня социальные сети внедряют многие инструменты для тех, кто развивает свой бизнес и/или зарабатывает в интернете. В том числе и сервис сбора подписчиков, и рассылок по этой базе.

В ходе мастер-класса вы сможете в прямом эфире наладить этот инструмент для своих целей, начать сбор подписчиков в социальной сети ВК.

Кому нужен этот мастер-класс

Тем, кто продвигает свой товар или услугу в интернете
Тем, кто зарабатывает в партнерских программах (в том числе и по партнерке школы Монта)
Тем, кто изучает новые сервисы социальных сетей, чтобы в дальнейшем продавать свои навыки
План мастер-класса

Создание группы
Создание рассылки на 150 человек (бесплатный сервис ВК)
Настройка автоматической серии писем по авторскому шаблону
Каждый участник мастер-класса получит

Варианты приглашений людей из числа друзей в ВК
Варианты приглашений людей из тематических групп
Доступ в закрытую группу участников интенсива для обмена ссылками и взаимных подписок
В результате прохождения мастер-класса вы получите настроенный инструмент для привлечения подписчиков, сможете сразу же начать продвижение и продажи своих товаров/услуг.

Преимущества рассылки ВК

Удобство для подписчика (не нужно никуда переходить по ссылкам и подтверждать подписку)
100% доставка писем до подписчика
Открытие сообщений – до 70% (в e-mail рассылке для сравнения – до 10%).







Как бесплатно создать рассылку в социальной сети Фейсбук и Инстаграм, не нарушая законов
В крупнейшей социальной сети Facebook (Фейсбук) и ее дочерней сети Инстаграм более двух миллиардов пользователей из всех стран мира. Следовательно, любой ваш проект может быть интересен огромному количеству людей.

Но как с ними взаимодействовать? Как заявить о себе и своем предложении потенциальным клиентам и покупателям?

Почтовые сервисы рассылок, которые хорошо себя показывали еще несколько лет назад, проигрывают социальным сетям, «местным способам связи» — то есть мессенджерам. 

Если вы вручную начнете рассылать личные сообщения, социальная сеть вас быстро остановит.

Борьба со спамом в социальных сетях ведется серьезно.

Однако существует легальный способ, который интегрирован в Фейсбук — рассылка с помощью специальных сервисов. При этом соблюдается основное условие — получатель должен обязательно согласиться с получением такой рассылки.

Сотни миллионов пользователей доступны
Преимущество любой рассылки — это возможность достучаться до пользователя тогда, когда Вы имеете материал, полезный для него.

Приглашаем на мастер-класс о создании рассылки в мессенджер Фейсбук.

Обратите внимание, это очень важно: именно с начала 2019 года идет разработка, которая по плану закончится к концу года, и в результате мессенджер в Фейсбук будет использоваться и в Инстаграм.

Это существенно повысит возможности интернет-магазинов и продающих постов в Инстаграм. Основное, что сейчас сдерживает, это отсутствие в Инстаграм автоматизированной связи с подписчиками.

И эта связь уже в этом году появится через мессенджер Фейсбук.

Кому нужен этот мастер-класс

Тем, кто продвигает свой товар или услугу в интернете
Тем, кто зарабатывает в партнерских программах (в том числе и по партнерке школы Монта)
Тем, кто изучает новые сервисы социальных сетей, чтобы в дальнейшем продавать свои навыки
План мастер-класса

Создание бизнес страницы
Создание рассылки
Настройка автоматической серии писем по авторскому шаблону
Каждый участник мастер-класса получит

Варианты приглашений людей из числа друзей в Фейсбук
Варианты приглашений людей из групп в Фейсбук
Доступ в закрытую группу участников интенсива для обмена ссылками и взаимных подписок
В результате прохождения мастер-класса вы получите настроенный инструмент для привлечения подписчиков, сможете сразу же начать продвижение и продажи своих товаров/услуг.

Преимущества рассылки Фейсбук

Удобство для подписчика (не нужно никуда переходить по ссылкам и подтверждать подписку)
100% доставка писем до подписчика
Открытие сообщений – до 70% (в e-mail рассылке для сравнения – до 10%).
Перспектива к концу года «захватить» и аудиторию в Инстаграм","http://shop.mon100.ru/archives/876
http://shop.mon100.ru/archives/899",https://cloud.mail.ru/public/3reG/2ZZCodq5d
Алексей Володин,Магнит невест: стабильный поток заказов на 2020,,https://vk.com/wed_marketing,https://cloud.mail.ru/public/27VA/3TiojuFeS
Антон Зарукин,"Профессия SMM-щик: Vk, Facebook, Instagram (Выжимка курса)","За три выжимки вы сэкономите собственное время на просмотре 98 часов видео и изучите за несколько часов в тексте все, что касается работы специалиста, включая упаковку своих услуг, продажи, документооборот и работу с клиентом.",http://smm.republicmedia.ru/,https://cloud.mail.ru/public/7bJy/3QpgxXW4h
Дмитрий Воробьев,Автоматические воронки продаж для инфобизнеса и заработка на партнерках,,https://sovetywebmastera.ru/mk_av/,"1 день - https://cloud.mail.ru/public/2teK/252564frN  пароль 1dayAuto
2 день - https://cloud.mail.ru/public/39Gd/38MzvAmgR пароль 2dayAuto





Спойлер: Тыкни! Здесь кое-что есть!



Записывайся на складчину по курсу Продвижения в Инстаграмме. Нужно набрать 30 участников каждый из которых обязан оплатить взнос 600 руб, когда набирается нужная сумма организатор покупает и раздает курс."
