author,name,desc,detail,dwnld
fxautorobot.com,"Секреты торговли по уровням Фибоначчи, зарабатываем без напряга!",,http://fxautorobot.com/video.htm,https://yadi.sk/d/VnBsTzPb3N8o6B
Сабит Досаев,Советник «Медео» Секрет Миллиардной прибыльности,,https://medeo-forex-sustem.nethouse.ru/,https://cloud.mail.ru/public/t6Qy/4o8v9XdWQ
Евгения Идиатуллина,Как извлечь максимум из падения фондового рынка,,https://start.bizon365.ru/page/28480,https://cloud.mail.ru/public/4Nd3/3DGmURFBg
Эдвард Дубинский,Успешный инвестор. Практическая программа по инвестициям,"20 лет в финансовой индустрии. К опыту и знаниям Эдварда Дубинского обращались мировые компании как Fidelity, The Capital Group, Morgan Stanley Investment Management и другие.

Экс-директор департамента по ценным бумагам в Credit Suisse, New York
9 стран входило под его руководство во время пребывания на должности директора в ТОП-9 инвестиционных банков мира
7 лет работы в Нью Йорке на Wall Street с глобальными и паевыми фондами
Участвовал в проведении около 50 IPO на общую сумму около 10 млрд. долларов
Во время работы в Нью Йорке получал 1 000 000$ в качестве бонусов
В 2008 купил убыточный банк в России и в 2011 продал с прибылью
Публичный спикер. Выступает на живых мероприятиях на 500-2000 участников
ДЕТАЛЬНОЕ ОПИСАНИЕ СЕССИЙ
СЕССИЯ 1
Управление личными финансами и создание начального капитала

Финансовая канва жизни
Желаемое vs. Необходимое
Плати себе первым!
Решение сегодня о завтрашних сбережениях
Визуализация финансовых целей
Автоматизация
Инвестиционная грамотность

Сложный процент накопления денег
Срок vs сумма сбережений
Роль инфляции
Риск и доходность
Аппетит к риску
Краткосрочное и долгосрочное инвестирование
СЕССИЯ 2
Определение и планирование финансовых целей

Для чего копим деньги?
Группирование и подсчет финансовых целей
Калькулятор сбережений
Как использовать калькулятор сбережений курса в подсчёте конкретных целей
Примеры, кейсы
Куда инвестировать?

Недвижимость?
Природные ресурсы и
драгоценные металлы?
Чужой бизнес и стартапы?
Риски и возможности
Как инвестировать?

Что возможно и доступно?
Как построен мир ценных бумаг?
Денежный рынок
Форекс (и его риски)
Рынки деривативов (и их риски)
Рынки капиталов

СЕССИЯ 3
Пошаговые инструкции инвестирования

Выбор методики

Единичные активы vs. фондовое инвестирование
Что такое инвестиционный фонд и как он работает
Примеры и кейсы
Самостоятельное vs. доверительное управление
Примеры и кейсы
Активное vs. пассивное инвестирование
Примеры и кейсы
Выбор секторов и рынков

Развитые, развивающиеся, “frontier”
Секторальные фонды
Выбор инструментов (их плюсы и минусы)

Акции, облигации, производные инструменты
Как они работают?
Понимание рисков
Как анализировать финансовые активы?
Наиболее популярные методы оценки компаний
Buy, hold, sell
Оценка рисков

Риск банкротства эмитента
Риск банкротства посредника
Валютный риск
Страновые риски
Регулятивные риски
Рыночные риски
Риск ликвидности
Выбор формата инвестирования

Паевые фонды. Что это и как они работают?
Системы инвестирования Value&Growth
Примеры и кейсы
Биржевые индексные фонды (ETF). Что это и как они работают?
Примеры и кейсы
Структурированные продукты. Что это и как они работают?
Примеры и кейсы
СЕССИЯ 4
Портфельная теория и распределение активов


Портфельная теория Марковица
Как работает «диверсификация» активов в портфеле

Инвестиционные стратегии

Стратегия «value»
Стратегия «growth»
Тайминг входа и выхода и анализ финансового рынка


Тайминг входа и выхода
Популярные методики анализа финансового рынка
Shiller P/E
Buffet Indicator
Аналитика «индекса страха»
Знакомство с техническим анализом

СЕССИЯ 5
Доступ к современному инвестированию для жителей в СНГ

Что возможно?
Что рекомендуется?
Как приобрести желаемые инвестиционные продукты и инструменты
Выбор посредника

Критерии выбора брокера, управляющей компании, страховой
компании

Продукты Unit-linked

Что это и как они работают?
Провайдеры услуг и критериивыбора
Легальность, правила экспатриации и репатриации капитала
Налоговые вопросы
Документация и оформление договоров
СЕССИЯ 6
Создание инвестиционного портфеля

Распределение активов и инструментов в портфеле
Выбор «базовых» и «трендовых» активов
Оптимизация доходности и минимизация риска
Ребалансирование и изменение портфеля
Последние указания

Дисциплина
Как справиться с успехом и провалом",https://fintelect.me/investments_product_page/,https://cloud.mail.ru/public/SwM4/3bW21eWh9
Эдвард Дубинский,Вебинар Кризис 2019,"Темы вебинара:

1. Почему мы видим высокую вероятность кризиса в 2019 году? Предпосылки и аргументы

2. Источники проблем и оценка ситуации: 

● Жесткая монетарная политика

● Пессимизм на рынке

● Рыночная стоимость акций

● Чему нас учит история? (Обзор ситуации 2008-2009 года)


3. Варианты сценариев кризиса 2019 года, сколько это может продлиться, какие могут быть последствия?


4. Как защититься от кризиса 2019 года? 

Составляем эффективные портфели:

● «Антикризисный» Портфель (краткосрочный)

● Портфель «на все сезоны» (долгосрочный)


5. Ответы на вопросы участников вебинара

Автор и ведущий:

Эдвард Дубинский, эксперт в области финансов и инвестирования",https://fintelect.com/invest2019,https://yadi.sk/d/WT7P1gBvcJJwWg
HAMAHA,Энциклопедия дна (2019),"КАК ЛОВИТЬ ДНО НА МЕДВЕЖЬЕМ РЫНКЕ И КАКОЙ РЫНОК НАС ЖДЕТ НА ПУТИ К НОВЫМ ВЕРШИНАМ У BTC.
Чтобы создать этот учебный материал, я изучил графики всех 7500 акций на бирже NYSE NASDAQ за последние 10 лет.

Уже через месяц, после глубокого изучения моего материала, вы будете с закрытыми глазами, определять дно на любом рынке (криптовалюты/акции), а затем точку для выхода на вершине или близко к ней.

+ Бонус:  3 месяца ежедневных видеообзоров и сигналов по рынку криптовалют от Автора.


Программа курса:",https://hamaha.net/view/post:612532,https://cloud.mail.ru/public/2gAw/4icJQ8vDv
,Стратегия Напалм. Самая засекреченная стратегия анализа объемов (2018),"2 дня теории: Вы гарантированно поймете систему
1 месяц практики: живые торги на реальных графиках
доходность 1 - 10% по каждой паре
ТС идеально подойдет занятым людям - тем, кто работает или учится и не может мониторить рынок с утра и до вечера! Все сделки по ней легко контролировать на мобильном устройстве. Для работы по ТС &quot;Напалм&quot; не важен ваш уровень подготовки. Вам не нужно обладать высоким интеллектом или иметь высшее образование. Здесь не учитывается имели вы дело с финансами или нет. Никакой роли не играет сколько вам лет и какой социальный статус вы занимаете. Она для всех!

1. Торговля по голому графику!
Все что нужно - это индикатор зиг-заг для отделения импульсов и коррекций, а так же для удобства расчетов. Пара прямоугольников и линий и все!Никаких лишних данных, индикаторов, цифр, сложного анализа, зон, уровней и прочего.

 2. Простая ТС без сложной системы.
Вам не понадобится напрягать свой ум и держать в памяти много цифр, отрисовывать уровни, наблюдать за биржевыми данными, следить за тем, как данные могу измениться.

 3. Навык работы не нужно отрабатывать годами.
За один вебинар вы усвоите теорию и за один вечер дома в пижаме и тапочках сможете увидеть все точки входа на практике. У большинства семьи, дети, работа. Факторы, которые отнимают много времени, вам не нужно тратить на обучение полгода.

 4. Идеально подойдет для новичков.
Очень часто ко мне обращаются свежеиспеченные трейдеры, которые пишут в своих письмах, что слили свои депозиты. У некоторых это было 100$, у некоторых 1000$, а у некоторых и по 50.000$. Оборачиваясь назад на свой личный опыт и на чужой, я с полной ответственностью говорю, что лучше заплатить за обучение, чем слить все свои деньги.

 5. Сразу рабочая ТС. Сел и поехал.
Раньше мне требовалось минимум одна неделя теории и одна неделя практики, чтобы объяснить с помощью объемов, что происходит на рынке, как крупняк манипулирует толпой, объяснить механику рынка и показать все это на истории. А ученикам нужно было достаточно времени, чтобы прожить все на своей шкуре и въехать в торговую систему. Так же нужно было много практики, чтобы понять где хотя бы входить в рынок по тем или иным сигналам.

 6. Подтвержденная статистикой работоспособность ТС.
Протестирован каждый торговый инстуремент. Моей целью было создание ТС, которая бы работала прибыльно минимум в течении полугода, а то бывает, что сигналы работают хорошо только в течении месяца, а по результатам более длительного периода трейдер имеет минус.

 7. Большое количество отфильтрованных для торговли инструментов.
У каждого инструмента бывают разыне фазы, где прибыльность может хромать. В этой ТС мы страхуемся от таких результатов торговлей на 20 инструментах.

 8.Стабильная ТС с четкими понятными входами и целями.
При работе по данной ТС вам будет очень сложно по одному и тому же инструменту загнать свой депозит в минус. Это нужно беспощадно нарушать риск и нарушать правила торговой системы, что надеюсь вы не будете делать. Вам нужно будет четко следовать правилу 1-2-3 и уметь высиживать позиции, чтобы раньше не закрывать их от сомнений.

 9. Грамотный рискменеджмент.

10. Сделки на кратко-среднесрок.
Не нужно сидеть ежечастно и мазолить глаза, торгуя внутри дня. Сделки нужно просто контролировать до целей и частично фиксироваться.

 11. Соотношение стоп-тейк минимум 1:1 и до 1:10

12. В 90% случаев работа по системе ведется только отложенными ордерами.",http://napalm.trenertrading.ru/,"https://cloud.mail.ru/public/2iCp/TefzW8kzZ
Пароль: www.coga.biz"
Ольга Кильтау,Создаём пассивный доход (2019),"На вебинаре мы разберем:
Дивидендные стратегии и риски.
Простые шаги в принятии решения о покупке дивидендных акций.
Список компаний РФ с высокими дивидендами.
Какие дивидендные компании покупать при обесценивании рубля?
Список дивидендных аристократов США. Как их приобрести?
Налогообложение.
Сколько нужно инвестировать денег и какое количество времени?
Ответы на вопросы.

Друзья, сейчас на рынке ценных бумаг начинается дивидендный период, это когда компании объявляют размеры дивидендов, которые они выплатят акционерам уже этой весной и летом.
Это гарантированный доход от 5-15%, который может получить каждый! Сейчас благоприятное время для покупки дивидендных акций, поэтому в понедельник 1 апреля я проведу Вебинар на тему &quot;Создаём пассивный доход из дивидендов&quot; и живём на проценты.
Я на примерах вам покажу, что создать капитал можно, даже при маленьких деньгах, и на пенсии у вас всегда будут деньги на достойную жизнь.",https://www.instagram.com/finance.prosto/,https://cloud.mail.ru/public/4XGs/EbG8s3mJV
Любовь Зуева,Ежедневная прибыль на бирже СМЕ 2.0 (2019),"В месяце есть 20 дней, когда на мировых рынках идут торги. В каждый из этих дней на Чикагской товарной бирже можно заработать минимум 100 долларов США.
Даже если вы заняты, для этого не нужно увольняться с работы. Потребуется 1-1,5 часа чистого времени, в любое время суток (часовой пояс не важен).
В какие дни заниматься таким трейдингом — решать вам, в зависимости от желания и загруженности. 

Один инструмент.
Никаких двух (трех, четырех) мониторов с 20-30 графиками по разным инструментам. Мы торгуем только ОДНИМ инструментом — SP500-mini, сохраняя нервную систему и не распыляя внимание.

Новейшие стратегии 2019 года.
Расширяют возможности для заработка. У вас не одна, а целых три системы заработка. Не нужно сидеть и «ждать у рынка погоды». Вы используете те паттерны, которые подходят к текущей ситуации и динамики.
Самый низкий порог входа.
Впервые стало возможным торговать на Чикагской бирже СМЕ начиная с 400-500 долларов.

Один таймфрейм.
Мы следим только за одним таймфремом. Никаких круговых забегов по графикам. Оставьте это любителям «поиграть на бирже»… Мы работаем с одним понятным инструментом на одном таймфрейме.
Впервые стало возможным торговать на Чикагской бирже СМЕ начиная с 400-500 долларов.

Любая платформа.
Можно работать на любой платформе. Нужен лишь инструмент SP500-mini и возможность настроить нужный таймфрейм на графике. Мы будем работать на MetaTrader5.

Можно работать с телефона.
Вы не привязаны к компьютеру. Мы используем терминал MetaTrader5, а все знания — в вашей голове. Это значит, что вы можете совершать сделки со своего смартфона, где бы вы ни были.

Никаких сложных стратегий.
Одна понятная и однозначная стратегия работы: выполняем пункты торгового плана, ищем паттерн. Для определения ситуации достаточно заглядывать в график 1 раз в 30 минут. Стратегия подходит для новичков, даже для тех, кто не торговал ранее — научим и проведем за ручку по всем особенностям и техническим моментам.

Помощь по всем техническим моментам.
Начиная от установки терминала и заканчивая нюансами открытия счета у брокера.

Снимаем страх трейдинга.
Да, учимся мы с демо-счетом. Но практику начинаем на микро-фьючерсе. Он в точности копирует основной инструмент, только стоит кратно дешевле. После небольшой тренировки вы сразу работаете с реальными деньгами, пусть и маленькими. Поэтому вы не будете испытывать страха перед торговлей.

Без двойных трактовок.
Многие торговые стратегии можно понимать по-разному в каждый конкретный момент времени. Из-за это по ним невозможно работать, а недобросовестные «гуру-авторы» пользуются этим. Всегда легче сказать, что ученик «не понял систему» чем признать неоднозначность. Мы знаем про это. Поэтому наша торговая система лишена этой проблемы. Она выверена логически, понять и трактовать ее можно сугубо однозначно.

Навык у вас в руках!
Для работы нужен только чистый график. Индикаторы могут использоваться только в самом начале обучения, как подсказка, но никогда не как ориентир. Мы будем разбирать, как минимум 2 стандартных индикатора, но к концу обучения мы откажемся от индикаторов и будем работать только с чистым графиком, научимся видеть движение и паттерн «без костылей». Вы сами увидите всю прелесть торговли руками!

Реально достижимая доходность.
От $100 прибыли в день и больше. Нужные нам движения на инструменте есть каждый день, ситуации для входа не требуют наличия тренда. Ждать в большинстве случаев долго не приходится. 6-8 входов из 10 дают прибыль. Инструмент выдерживает ЛЮБЫЕ объемы, которыми вы захотите работать. Это никак не отразится на рыночной ситуации: фьючерс на S&P500 торгуется миллиардными оборотами в долларах. 

Бережем нервы.
За счет точности входов в сделки мы в разы повышаем прибыльность: не нужно совершать много отрицательных сделок ради того, чтобы поймать один хороший тренд. Такой подход позволяет быстрее почувствовать себя комфортно и смелее работать на бирже, не обжигаясь и не переживая большие потери.

Реалистичный разгон депозита.
Старт на РЕАЛЕ от 400 — 500 долларов. Благодаря точным входам в первый месяц работы можно удвоиться и далее работать в более комфортном режиме.

Идеально для новичков.
Разберем по кирпичикам все вопросы новичков и окажем исчерпывающую помощь и поддержку: от настройки графиков до публикации отчетов, сделок, вспомогательных инструментов и т.д. ВСЁ, что потребуется для новичка — выдадим в формате подробных инструкций.

И для тех, кто уже торгует.
Стратегия расширит арсенал торгующего трейдера и поможет поднять доходность в разы. Один инструмент выдерживает любые объемы, можно просто увеличивать кол-во контрактов и продолжать зарабатывать на инструменте.

1 раз в 30 минут.
Для принятия решения о входе в сделку достаточно заглядывать в терминал 1 раз в 30 минут. Оцениваем ситуацию: если она подходит под описание входим в сделку, если нет пропускаем, ждем следующего сигнала.

Лучше, чем криптовалюты!
Инструмент S&P500mini достаточно волатильный (как и монеты на криптовалютном рынке) и гораздо безопаснее. Он не может резко падать и его можно торговать, как в лонг так и в шорт. Нам безразлично куда идет цена — торговать можно и на росте, и на падении.

Минимум времени на обучение.
На освоение стратегии требуется 1 неделя. В идеале, со второй недели можно приступать к практике. Опытные трейдеры уже начнут зарабатывать, а новички, которые купят пакет ПРО будут проходить программу «100 сделок», после которой смогут смело выходить на реал будучи уверенными в своих силах.

Без перегрузок.
Никаких дополнительных знаний «в нагрузку» не потребуется. Мы начнем с нуля, от вас требуются только самые базовые навыки работы на компьютере. И если вы читаете этот текст — они у вас есть.

Постоянная поддержка и общение с тренером.
Доступ в группу с занятиями и обсуждениями, где будут публиковаться обзоры, ответы на вопросы, разбор ситуации и сделок, а также онлайн-встречи.

3 месяца коучинга.
Сразу после основной части тренинга. Каждую неделю – новая тема. Разбираем новую тему, плюс сделки и ситуации. Ответы на вопросы участников и докрутка, чтобы результаты были У КАЖДОГО.

Технология «100 сделок»
Ни один ученик не будет торговать на реале до тех пор, пока он не отработает стратегию до автоматизма на демо-счете, эквивалентному его реальному счету. Мы будем работать в ситуации приближенной к реальности на 100%: строгий контроль отчетность, заполнение чек листов, прохождение специальной «Системы 100 сделок» и экзамен. Только потом мы выдаем рекомендации и разрешаем работать на реале. До этого момента никто не будет допущен на реальный рынок

Вот чему вы научитесь:

День 1

Изучаем терминал, настраиваем график, кратко об инструменте.
Выбираем платформу для торгов (рекомендуется МТ5), регистрируем демо-счет, настраиваем инструмент, график, таймфрейм, разбираем основные настройки терминала, которые пригодятся в работе.
Задание: настроить терминал, инструмент, график.

День 2

Разбираем стратегию и торговый план.
Детальный разбор стратегии и торгового плана. Точки входа и выхода, правила совершения сделок. Разбор ситуаций на живом графике в реальных условиях. Ответы на вопросы.
Задание: Найти на графике формации по торговому плану и написать отчет в персональном электронном дневнике.

День 3

Ответы на вопросы и практические задания.
Разбор торговых ситуаций, ответы на вопросы, повторение правил торговли, точки входа и выхода. Разбор ситуаций на живом графике в реальных условиях. Примеры идеальных ситуаций, разбор почему в том или ином случае нужно было (или не нужно было входить). Оттачиваем ситуации заработка 100$ в день.
Задание: Совершить первые сделки по торговому плану (если ситуация на рынке это позволяет), написать отчет в персональном электронном дневнике.

День 4

Вспомогательные индикаторы для самых начинающих.
Разбор минимум 3-х встроенных индикаторов, которые помогают найти удачные точки входа и определить направление движения цены. и ответы на вопросы.
ВНИМАНИЕ! Индикаторы являются временным способом определить направление движения. Мы будем использовать их только в первое время и постепенно научимся «читать график без костылей».

Задание: Настроить как минимум 1 индикатор, который разбирали на занятии и совершить сделки с его помощью. Написать отчет в персональном электронном дневнике.

День 5

Практика и авторская система «100 сделок»
Разбор домашнего задания, ответы на вопросы, разбор текущей ситуации на графике. Изучение специальной «Системы 100 сделок», которая помогает в рекордно короткие сроки подготовиться к выходу на реальный рынок, чтобы торговать успешно. Каждому участнику будет выдан шаблон для заполнения и правила самоконтроля.
Берёмся за то, чего старательно избегают другие:

 Если у вас маленький депозит
Практически ни один трейдер не возьмет в личный коучинг, если слышит о депозите менее 300 000 рублей. Это, конечно, понятно: с большими деньгами проще работать, проще делать прибыль…

Мы уверены в системе «100 долларов в день» настолько, что нам не важен ваш депозит. Более того, считаем: чем меньше денег на старте — тем лучше и легче для вас.

Вам не хватает дисциплины и понимания
Излюбленная причина, чтобы «поставить крест» на ученике и сказать, что у него никогда не получится зарабатывать в трейдинге.

Мы уверены: технология «Система 100 сделок» в сочетании с иными инструментами способна выработать дисциплину и системность у кого угодно. Лишь бы у вас было желание.

Не боимся личного общения
Если ситуация реально требует того, чтобы лично пообщаться по Skype — мы сделаем это без колебаний. Только согласуем дату и время лично с вами.

Собираем «в дорогу»
Нам не интересно отчитать тренинг и уйти. Нам нужны ваши результаты. Поэтому, после окончания коучинга вы получаете план, как отправиться в самостоятельное плавание и не утонуть.",https://cme100.info-dvd.ru,https://cloud.mail.ru/public/4Jfb/T1iuFbDyv
,Копировщик (ретранслятор) сделок + реверс (RS Trade Copier Professional),,"http://mt4soft.ru/#%21digiseller/detail/1058123
		
Нажмите для раскрытия...





			https://skladchik.com/threads/%D0%9A%D0%BE%D0%BF%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA-%D1%80%D0%B5%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BB%D1%8F%D1%82%D0%BE%D1%80-%D1%81%D0%B4%D0%B5%D0%BB%D0%BE%D0%BA-%D1%80%D0%B5%D0%B2%D0%B5%D1%80%D1%81.67697
		
Нажмите для раскрытия...",https://cloud.mail.ru/public/b6de8f7e7fb3/RS Trade Copier Professional.rar
