author,name,desc,detail,dwnld
Павел Андреев,Длительное обучение астрологии. 1 ступень «Меркурий». 8 поток (2019),"МОДУЛЬ I: АЗБУКА КАРТЫ РОЖДЕНИЯ

АСТРОЛОГ-ПРАКТИК — БАЗОВЫЕ НАВЫКИ ДЛЯ ЧТЕНИЯ НАТАЛЬНОЙ КАРТЫ

работаем на живых картах в реальном времени;
для обучения необходим ноутбук на базе Windows (для ступени ""Меркурий"" подойдет самый простой);
не требуется никаких навыков суперастролога, только базовая грамотность начальной школы;
индивидуальное контрольное задание в качестве домашней работы на каждое занятие
Примеры вопросов, на которые после прохождения курса вы сможете самостоятельно отвечать по своей и любой другой карте:

как найти себя?
каково моё предназначение?
что такое карма и какова она в моём случае?
где взять энергию? как бороться с ленью?
каково будущее моих детей?
как повысить мотивацию к учёбе у моего ребёнка?
какую профессию выбрать мужу?
какие болезни могут развиваться у меня со временем?
какие закономерности личной жизни запрограммированы по судьбе у моей подруги?
что означает квадрат солнца с ураном и не означает квадрат юпитера с ураном?
Программа курса

Длительность: 14 занятий.

Темы и содержание занятий 1-го модуля:

1) интегральные показатели, понятие контекста карты;
2) элементы карты: планета, знак, канал, дом, управитель, аспект; космограмма и гороскоп; двойное управление;
3) homo sapiens и homo reflectorus, программа духа и программа тела, жизненный цикл человека, концепция 4 рождений, предрождение (нулевое рождение), путь и предназначение, лунные узлы;
4) теория аспектов как связей духа, алгоритм вывода самостоятельного значения аспекта в каждой карте;
5) сила планет, сила стихий, сожжение, ретроградность, планета в осаде, планета в шахте, критические градусы (анарета), ангуляр, личностные и неличностные планеты;
6) структура гороскопа, детальная характеристика 12 домов, этажи дома и перемещение между ними, скрытый символизм домов, которого нет в типичных книжных описаниях; сильный и слабый дом, гармоничный и напряжённый дом;
7) луна как зеркало духа, интерпретация в аспектах, домах, знаках;
8) солнце как искра духа, интерпретация в аспектах, домах, знаках;
9) меркурий как проводник информации, интерпретация в аспектах, домах, знаках;
10) венера как симпатия духа, интерпретация в аспектах, домах, знаках;
11) марс как первая воля духа, интерпретация в аспектах, домах, знаках;
12) социальные планеты как правила и моральные понятия духа, интерпретация в аспектах, домах, знаках;
13) высшие планеты как антенны с космосом, интерпретация в аспектах, домах, знаках;
14) чёрная луна как «ахиллесова пята» духа, интерпретация в аспектах, домах, знаках.


МОДУЛЬ II: СЛОВА И ПРЕДЛОЖЕНИЯ В КАРТЕ РОЖДЕНИЯ
Программа курса 

Длительность: 14 занятий.

1) понятие альмутена (управителя) дома, интерпретация положения управителя дома в других домах, аспектах с планетами и управителями; управитель гороскопа; основы физиогномики;
2) цепочки диспозиций: домарная и планетарная — невидимый скелет психики и событийности;
3) конфигурации аспектов, сила аспектов;
4) событийная азбука карты, формула события в статике и динамике;
5) практика по цепочкам, конфигурациям, формулам;
6) тематический анализ дома, навык синтеза элементов карты в единую картину, ядро личности; практика по отсечению ""информационного шума"", используя ядро личности и контекст карты;
7) азы медицинской диагностики по карте рождения;
8) азы личной жизни в карте рождения;
9) практика по личной жизни;
10) азы профориентации в карте рождения;
11) практика по профориентации;
12) базовый план анализа натальной карты;
13) практика: тематический анализ, событийный язык карты;
14) практика: навык точной диагностики, астрология психотехник, подготовка к внедрению компенсаторной астрологии.",https://lablife.pro/dlitelnoe-obuchenie-astrologii,https://cloud.mail.ru/public/3SMa/ZyaGcRxvS
Джон Кехо,Квантовый воин: сознание будущего (2016),,https://www.litres.ru/dzhon-keho/kvantovyy-voin-soznanie-buduschego-21998156/,https://drive.google.com/folderview?id=1Je0aN3xmmigBxl_G2SprTTrXZobKlV1E
А. Свияш,Легкие деньги,,http://psymarket.ru/collection/all/product/legkie-dengi-personalnyy-videotrening-aleksandra-sviyasha,"https://mega.nz/#!KFtyHQ7Q!EfKipkKUFkS3B-k1ILrirzivBKpP3E-h7OvXORRTHuI
		
Нажмите для раскрытия...





			https://mega.nz/#!qU9iyKZI!AivwzESrHqAxAfkW2oqaAhPVH-8wrj6LWkQNCblioT8
		
Нажмите для раскрытия...





			https://mega.nz/#!iFkA2CDK!a97O5megEMzgVNtfpdoUnERby0FR_pJmqzjw9qciz8I
		
Нажмите для раскрытия...





			https://mega.nz/#!KVdDnb4J!Lq6ccF85Tw3IKdyHRJUOvg2gGXsc_gV6kSHBe065yds
		
Нажмите для раскрытия...





			https://mega.nz/#!3RdlTaLT!Pka6dnWE6-O8bRQHB-vk8SCdT-JRB3EDuDQ27mxVnOQ
		
Нажмите для раскрытия...





			https://mega.nz/#!ScMEzBaK!MEJrHxnoHzb0SEz_g7OJPwlVFo0_N6mc1NxTGdJLDhY
		
Нажмите для раскрытия...





			https://mega.nz/#!2VsFQJrY!RUkY0XIlqb4zM3yH_xi96RZQvsJGwo3WRDZk2YeJiv0
		
Нажмите для раскрытия...





			https://mega.nz/#!jM9RHAgL!E-y5Y0G4E3QnYo29-8u46xVG3H9vpTcTU5TzIqqujQI
		
Нажмите для раскрытия...





			https://mega.nz/#!KUcAmBQI!SNHIvQccOOO3lxxrbSs7yALzxX5n5DsDuK-i_k2Ep5Y
		
Нажмите для раскрытия...





			https://mega.nz/#!aVdhiKhT!SW0wvmtfN9qsCPiVqjsMh1d8tQ4Q1RoPpLiH2e73fzI
		
Нажмите для раскрытия...





			https://mega.nz/#!mNkSnKqR!H_jXSmMzp-y9XmLZmmmzMDPgBLoVbrFY16IE_bWcCGA
		
Нажмите для раскрытия..."
Алла Алиция Хшановска,Мистерия рун,,,https://yadi.sk/i/LhbiZu5EYCx4zA
,"Астрология: сборник книг + ZET 7, ZET 9",,,https://cloud.mail.ru/public/2q2T/2icuPtXbp
Альфериан Маклир,"Жезл ведьмы. Изготовление, история и магические свойства волшебных палочек (2019)","Сегодня образ волшебной палочки стал неотъемлемой частью массовой культуры. Она появляется в книгах и в фильмах гораздо чаще, чем любой другой предмет магического арсенала. Как же нам отделить правду об этом инструменте от неуемной фантазии писателей и кинематографистов? Об этом вы узнаете из книги Альфериана Гвидиона Маклира, мастера по изготовлению волшебных палочек – или жезлов ведьмы, как их обычно называют те, кто их действительно использует.
Прочитав книгу, вы сможете изготовить собственную волшебную палочку – в зависимости от своих целей – и наложить на нее чары. А также получите необходимые знания, чтобы применять жезл ведьмы во время проведения ритуалов, праздников круга года и произнесения различных заклинаний – для направления намерения и магических посланий, зарядки объектов и очерчивания защитных кругов.
Переворачивайте страницу – и добро пожаловать в мир практической магии! Крибле-крабле-бумс!",https://www.litres.ru/alferian-maklir/zhezl-vedmy-izgotovlenie-istoriya-i-magicheskie-svoystva-v/,https://cloud.mail.ru/public/KUba/43Jbvh2G4
Савченко,Таро за 3 дня методом глубокого погружения (2013),,http://lp.tarotman.ru/,https://cloud.mail.ru/public/4Sx2/5jdPZK3Vn
"Дмитрий Владимирович, Мария Гнатовская",Прямое и Визуальное чтение ба-цзы (2019),"Как научиться ВИДЕТЬ ответы на волнующие вас вопросы?

Данная методика не требует предварительных знаний по ба-цзы, подходит даже новичкам для самостоятельного анализа своей карты

Дополнит понимание карты новыми деталями при любом уровне владения темой

Позволит увидеть главные тенденции в жизни человека в его карте рождения буквально с первого взгляда

Вот всего несколько вопросов, ответы на которые вы найдете в картах рождения с помощью этой методики:

Структуры богатства. Что присутствует в карте рождения большинства миллиардеров?
Признаки головокружительной карьеры - как их распознать и включить исполнение благоприятного сценария?
Денежные потери - что им способствует в карте рождения?
Нудная и неинтересная работа - это про кого? Какие признаки в карте создают ""потолок"" и ограничивают самореализацию? Что с этим делать?
Социальные структуры. Кто может добиться успеха в одиночку, а кому обязательно надо искать равного по силе партнера? И как построить совместный бизнес с обоюдной выгодой.
Мой начальник - лучший друг. Особенности структуры, которая зависит от лидера, и благодаря ему достигает своего расцвета. Кому обязательно нужен свой Мастер?
Структура против времени. Как увидеть в жизни периоды, когда вы можете резко увеличить свой доход, а когда нужно быть максимально осторожным в расходах. И как обезопасить себя на это время?
Структуры Власти. Президентами рождаются? Какие признаки в карте указывают на способность человека достичь самой верхушки власти?
Из грязи в князи. Потенциал самостоятельного выхода на ""околоземную"" орбиту. Какие признаки в карте указывают на то, что человеку стоит нацеливаться гораздо выше, чем могли бы предположить его родители и он сам?
Вредная власть - какие признаки вредных зависимостей и негативных привычек существуют в карте рождения?

ПРОГРАММА ЗАНЯТИЙ:

1 день

Полезные Божества
На первом занятии вы познакомитесь с основными понятиями, которые мы будем использовать в этом курсе.

Полезный Бог - это энергия-покровитель, которая помогает остальным стихиям карты проявлять их благоприятные качества. Этооснова структуры. Вы узнаете: как определить этот элемент в своей карте рождения.

Если Полезный Бог встроен в карту и не разрушен - это дает защиту и потенциал удачи во всех сферах жизни.

Те столпы в карте рождения, где он присутствует, обязательно нужно подключать в жизнь человека (как их подключить - мы тоже расскажем).

Также вы узнаете о том, что такое температурное регулирование карты и других важных нюансах в анализе карт ба-цзы, о которых редко говорят даже на дорогих очных курсах.

2 день

Социальные Структуры
Хотим мы того или нет, но мы живем в социальном мире. Даже если мы не работаем напрямую с другими людьми, наш труд имеет ценность и оплачивается, только потому что он нужен кому-то еще помимо нас.

Нематериальная сфера в еще большей степени зависит отгармоничных отношений с окружающими. Остаетесь ли вы один на один со своими проблемами или имеете поддержку единомышленников? Зависит от того, как проявлены социальные структуры в вашей карте.

- Новые связи и знакомства - от чего зависит приток ""нужных"" людей в вашу жизнь?
- Завистники и предатели - оборотная сторона дружбы. Какую стратегию выбрать при негативной социальной структуре карты?
- Отдать ребенка в хоккей или шахматы? Что помимо физического развития важно для ""игры в команде"" с точки зрения ба-цзы?
- Структура Остапа Бендера. Кто сам может успешно эксплуатировать слабости других людей?
- Взаимодополняющие карты - когда дружба приводит к богатству?
- Какими людьми себя стоит окружить, чтобы добиться поставленной цели?
- Для кого Грабитель Богатства в карте рождения - хороший знак? Все что вы хотели знать об этой популярной ""страшилке"" в ба-цзы, но боялись спросить.

3 день

Структуры Богатства и Самовыражения
Даже если вы готовы согласиться с утверждением, что счастье не в деньгах. То все равно не будете спорить с тем, что их отсутствие, тем более, не сделало никого счастливее.

Основной секрет денежной структуры, обеспечивающей его хозяину безбедное существование, звучит так: ""Самовыражение должно порождать Деньги"". Как это выглядит на практике в карте рождения? И что надо знать, чтобы ответить на вечно актуальные вопросы, например:

- Какой признак в карте определяет стоимость вашего труда? Что нужно, чтобы работать меньше, а получать - больше?
- Способы прихода денег в вашей карте рождения. Как выбрать лучший?
- Денежная емкость карты ба-цзы. Что такого особенного в картах миллиардеров?
- Явные и скрытые признаки того, что человек может стать банкротом
- Денежное и не денежное Самовыражение
- Кто рискует надорвать здоровье на работе?
- Как применить ба-цзы в найме сотрудников? Люди с каким признаком в карте приносят больше денег своим руководителям?
- Взлеты и падения в карьере - как отследить в ба-цзы?
- Структура ""удачливого подчиненного"". Кому повысят зарплату в первую очередь, дадут премию и простят мелкие проступки?

4 день

Структуры Власти и Ресурсов
Счастье здесь и сейчас - отчего это зависит? В значительной степени - от гармонии в сфере Власти и Ресурсов. Поддержка и опора в жизни, счастливое замужество (для женщин), авторитет и карьера (для мужчин), крепкое здоровье и прочие важные для счастья компоненты - находятся в прямой зависимости от этих аспектов карты рождения.

- Признаки головокружительной карьеры - как их распознать и включить исполнение благоприятного сценария?
- Опасные периоды - когда возможны проблемы со здоровьем
- Стимулы к развитию. Каких детей надо почаще хвалить, в чем секрет хорошей обучаемости, истинные причины лени
- Больше чем деньги. Для кого Ресурс символизирует получение наследства или богатое происхождение?
- Структура ""Босс над боссом"". Советники сильных мира сего, серые кардиналы и бизнес-тренеры. Что у них общего?
- Какие признаки вредных зависимостей и негативных привычексуществуют в карте рождения
- Про отношения. Какая модель брака соответствует вашей карте?
- Ответы на множество других жизненных вопросов

Кроме основной программы, приобретая курс сейчас, вы получите 2 БОНУСА:

Метод ""Стакана Воды"" 
Активация для повышения дохода
Эту активацию также называют ""Внутренние Замковые Врата"".
Идеально подходит для людей, у которых деятельность связана с получением дохода от клиентов.

В отличие от многих других методов фен-шуй, данная техника простая в применении и безопасная. Использовать ее может даже новичок. Потребуется лишь компас и стакан воды.

При этом, в ее основе используется мощный и классический принцип активации энергии богатства, через поступление денег от других людей.

""Специальные Структуры ба-цзы""
Самое полное руководство на русском языке
Помимо 10 основных (или, как говорят, нормальных) структур ба-цзы, которые будут рассмотрены на основных занятиях курса, в этом бонусе мы расскажем вам о Специальных Структурах.

Речь идет о таких структурах как: «Установление Счастья»,«Янский Край», несколько разновидностей структур «Следования», «Визави двух духов» , «Трансформация Ци», «Треугольники стихий».

Только две из них считаются общепризнанными, а в отношении остальных, до сих пор, идет дискуссия – учитывать ли их, или рассматривать такие карты по правилам нормальных структур.

Впрочем, совсем скоро у вас будет возможность узнать обо всех известных типах структур и сделать самостоятельные выводы!",http://dao.smart-destiny.ru/direct-bazi,https://cloud.mail.ru/public/4ZTS/5dqNdYsRK
,,,http://vratamir.com/lp/praktiki/,https://cloud.mail.ru/public/4cgZ/4DTgbrtYB
Ольга Николаева,Юпитер в вашей жизни: получите щедрое благословение небес!,,http://www.9-dragons.ru/jupiter/,https://cloud.mail.ru/public/4Vok/5uURpQBsk
