author,name,desc,detail,dwnld
WebForMyself,Фреймворк VUE JS (Владилен Минин),"Vue.js – это прогрессивный JavaScript-фреймворк для создания UI и создания сверхбыстрых, мощных, полностью адаптивных одностраничных веб-приложений (Single Page Application), стремительно набирающий популярность среди разработчиков.

Vue.js является библиотекой. Но благодаря поэтапно наращиваемой экосистеме компонентов (от создателей самого Vue), библиотека масштабируется до полнофункционального сверхбыстрого, гибкого, производительного фреймворка. Легко интегрируется с другими проектами и библиотеками.

Преимущества перед другими JS-фреймворками
Функции Vue схожи с функциями аналогичных JS-фреймворков от Google (Angular) и Facebook (React), это и компоненты, и директивы, и свойства, и переходы, и анимация, и фильтры. Но есть и существенные принципиальные отличия, которые оставляют конкурентов далеко позади

Для кого этот курс:
================
Начинающие Frontend-разработчики
Вы нуждаетесь в пошаговом фундаментальном обучении с полного нуля и поддержке опытного наставника. Хотите сразу изучить и начать использовать современные технологии

Действующие Frontend-разработчики
Для вас важно быть в тренде и пользоваться только актуальными и востребованными технологиями веб-разработки для достижения максимальных заработков

Фрилансеры-практики
Вы очень ограничены во времени и остро нуждаетесь в быстром овладении новой перспективной технологией для того, чтобы брать более дорогие заказы",https://webformyself.com/vuejs/,https://yadi.sk/d/aD7vauc5tUzLEA
Андрей Кудлай,Фреймворк Yii2. Быстрая разработка с современным фреймворком [2020],,https://webformyself.com/yii2/,https://cloud.mail.ru/public/2LXx/T5gy64HBX
WebForMySelf,Верстка-Мастер,,https://webformyself.com/verstka/?7d19a8f7,"https://cloud.mail.ru/public/2ErJ/QUCUaEdrp
Пароль: PnURDCcK+umtoqi+X5-r"
WebForMyself,Фреймворк NuxtJS. Руководство по Full-Stack разработке (2019),"Курс состоит из 9 блоков и включает в себя 74 урока общей продолжительностью более 13 часов видео.

Состав курса:
Блок 1. Введение Данный блок является вводным, где вы подробно узнаете про то, что вас ждет в курсе и какие инструменты потребуются для изучения курса.

Блок 2. Nuxt.js. Теория Данный блок посвящен теории фреймворка Nuxt.js. В нем вы познакомитесь с Nuxt.js и узнаете про то, что такое Server Side Rendering с JavaScript-фреймворками. В блоке вы узнаете про все основные возможности в Nuxt.js, которые расширяют Vue.js новым, более удобным функционалом.

Блок 3. Front-End. Создание блога В данном блоке вы увидите, как создается клиентская часть для будущего приложения. В блоке будет создана только основная часть блога, без панели администратора с использованием UI-фреймворка Element-UI.

Блок 4. Front-End. Панель администратора В блоке вы увидите, как создается клиентская часть для панели администратора, где будет возможность создавать новые посты, редактировать существующие, смотреть статистику, добавлять новых пользователей. В блоке будут реализованы такие элементы, как: загрузка картинок, валидация форм, защита роутов и создание контента постов в формате HTML и MD.

Блок 5. Back-End В этом блоке будет показана реализация серверной части для приложения. Вы увидите, как создается масштабируемая, гибкая архитектура бекенда для будущего блога. Будут разобраны такие элементы, как: работа с базами данных, защите ключей, разделенные роуты от публичного API и закрытого API, авторизация через JWT-токен, загрузка файлов и многое другое.

Блок 6. Интеграция На момент данного блока в приложении будет две реализованные части: Front-End и Back-End, которые необходимо связать, что и является интеграцией. В блоке вы увидите, как интегрировать все существующие страницы в админке и основном блоге, как сделать авторизацию и поддерживать сессию.

Блок 7. Аналитика и графики В блоке вы увидите, как реализовать страницу в панели администратора, отвечающую за аналитику внутри блога. Будет показана реализация двух графиков, показывающих аналитику по количеству просмотров и количеству комментариев у постов приложения. Разработка будет вестись как на стороне клиента, так и на серверной части.

Блок 8. Последние штрихи Данный блок покажет вам некоторые моменты, которые улучшат приложение, например: создание общего фильтра для отображения даты и времени, исправление консольных предупреждений, добавление Title для каждой страницы, использование ENV-переменных. В конце блока вы увидите, как превратить весь блог в PWA-приложение с офлайн доступом и Service Workers.

Блок 9. Деплой приложения В данном блоке уже завершенное приложение будет подготовлено для деплоя на удаленный сервер. Вы пошагово увидите, что необходимо сделать, чтобы запустить приложение на серверах Heroku.

Бонусы:
*Бонус 1. SEO
*Бонус 2. Node.js
*Бонус 3. MongoDB
*Бонус 4. WebPack 4+",https://webformyself.com/nuxt/,https://cloud.mail.ru/public/4kk7/4RbFQqXKh
WebForMySelf,Веб-дизайн + Верстка (2019),"Веб-дизайн сегодня – это не просто внешний вид сайта, но и то, насколько сайтом удобно пользоваться, насколько он понятен целевой аудитории, как быстро посетитель ресурса достигает цели, с которой пришел сюда.

Соответственно, и веб-дизайнер — это не просто тот, кто создает внешний вид сайта. Веб-дизайнер – это тот, кто проектирует и создает понятный и удобный для использования дизайн на основе анализа данных о целевой аудитории.

- Что делает веб-дизайнер
Веб-дизайнер создает макеты любых сайтов: визиток, лендингов, интернет-магазинов, корпоративных ресурсов и так далее. Кроме этого, он может заниматься созданием иконок и других изображений для веб-использования, логотипов и фирменного стиля компании, может создавать рекламные баннеры, шаблоны писем для email-рассылок и так далее.

Рабочий процесс дизайнера выглядит следующим образом.

Изначально дизайнер получает ТЗ (техническое задание на разработку сайта) от заказчика. В ТЗ указано, какой сайт нужно создать: для чего и как планируется его использовать, какую задачу должен решать ресурс, кем будут его основные посетители, с какой целью они будут заходит, какой контент должен быть размещен на сайте. Если какой-либо информации для создания дизайна не хватает, то дизайнер задает вопросы заказчику или самостоятельно проводит необходимое исследование. На данном этапе может быть полезно изучить сайты конкурентов, а также другие ресурсы в данной либо в смежных тематиках.

Далее, после сбора необходимой информации и данных, дизайнер либо от руки на бумаге, либо в специальных программах делает прототипы будущего сайта. Прототипы сайта — схематическое, без дизайна, расположение информации и блоков на сайте. Как правило, делают несколько прототипов и выбирают один, наиболее подходящий.

- Инструменты веб-дизайна
В данной статье не будем подробно останавливаться на всех инструментах под различные платформы, которые существуют для веб-дизайнеров, потому как их очень много. Даже сайты с иконками, различной графикой для сайтов и Google Fonts — тоже, своего рода, инструменты для веб-дизайнера.

Долгое время лидером и чуть ли не единственной массовой программой для создания макетов сайтов был Photoshop. Потом появился Sketch. Кто-то перешел на использование Sketch, кто-то остался на Photoshop. Но сегодня есть еще один очень хороший инструмент для создания дизайна, который хорошо зарекомендовал себя среди других инструментов и заслужил любовь многих дизайнеров — это Figma.

Figma — это новая программа для веб-дизайнеров. С помощью нее можно создавать не только прототипы, но и сами интерфейсы (сайты, приложения, панель управления). Весомым преимуществом данной программы является ее простота. Именно за счет этого Фигма завоевывает сердца специалистов в сфере веб-дизайна.

- Преимущества Figma
Доступность — Figma работает прямо в браузере. Не нужно ничего скачивать, устанавливать. Просто с любой платформы заходите на сайт figma.com, авторизуйтесь и начинайте работать в программе. Есть, конечно, и десктопная версия, но она совсем немного отличается функционалом от веб-версии программы. Пожалуй, самое критичное — это то, что в десктопной версии можно работать без подключения к интернету.

- Удобные инструменты — Photoshop изначально создавался как редактор фотографий, поэтому инструменты именно для рисования в нем — не самые удобные для дизайнеров. В Figma совершенно иной подход: удобный Pen Tool, удобное создание эффектов и т. д.

- Работа со шрифтами — в Photoshop или другой графической программе нельзя использовать для дизайна шрифт, который не установлен в системе. В Figma шрифты подтягиваются из Google Fonts либо автоматически подгружаются в проект.

- Удобный бэкап — все версии и изменения хранятся в Figma. Можно в любой момент откатиться на нужную версию. Больше нет необходимости хранить много версий одного проекта на компьютере.

- Совместная работа — в Figma очень продумано сотрудничество над одним проектом. У каждого есть возможность оставлять комментарии, есть настройка прав для отдельных пользователей. Курсоры всех пользователей проекта окрашиваются разными цветами и подписываются. Работа отслеживается в режиме реального времени.

- Хранение файлов — все файлы Figma хранит в облаке. Поэтому теперь не нужно пересохранять файл в формат .png перед тем, как скинуть на согласование заказчику. Достаточно просто дать ссылку на файл в Figma.

Это основные преимущества Figma. Конечно, список не исчерпывающий. Каждый, кто попробует Figma, найдет что-то полезное и удобное именно для себя.

Так, например, Figma — удобный инструмент и для верстальщиков, которые впоследствии верстают созданный макет. Верстальщик в Figma может сразу удобно измерить отступы или расстояния между элементами, посмотреть все стили для элемента и коды цветов.

В комплекте бонусы и дополнительные материалы!",https://webformyself.com/dv/,https://cloud.mail.ru/public/xDXq/afeHjx6N6
Евгений Сериков,Фриланс - Мастер. Как продавать свои услуги онлайн (2020),,https://webformyself.com/fmaster/,https://cloud.mail.ru/public/3hYd/KQd3jEi2p
WebForMySelf,JavaScript. Полное руководство для современной веб-разработки (2019),"Актуальные и применимые на практике знаний (а не просто голой абстрактной теории) в удобном формате с бонусами и практическими разборами, благодаря которым можно существенно повысить уровень знаний в быстрые сроки.

Курс построен таким образом, что в нем собрана исключительно теоретическая информация применимая в практике без лишнего, с учетом двух практических блоков, где наглядно показывается применение теории: создана простая игра и приложение личного блога.

JavaScript самый популярный веб-язык программирования. Сегодня очень популярны во Front-end разработке такие фреймворки, как Vue.js, React.js, Angular.js. Более того, сегодня и серверная часть веб-приложений также может быть написана на JavaScript, используя node.js. И знания по javascript открывают двери во front-end разработку или даже javascript Full-Stack разработку, где заработки начинаются от 100.000.",https://webformyself.com/javascript/,https://cloud.mail.ru/public/2fyM/s7t5wibDv
WebForMySelf: Андрей Кудлай,1-С Битрикс. Практика создания веб-проектов (2018),,https://webformyself.com/bitrix/,https://cloud.mail.ru/public/3RN9/GQ7wZpJwA
WebForMyself,Курс по Flexbox (2018),"В данном видеокурсе мы рассмотрим с вами css модуль Flexbox, изучив который вы сможете верстать гибкие макеты различной сложности, при этом не используя float и inline-block.

На протяжении курса будут изучены все основные свойства, которые нам предоставляет Flexbox, а также мы разберем различные тонкости, благодаря которым вам будет проще понимать, как работает данный модуль.

Если вы имеете какие-то начальные знания в области верстки, то это будет плюсом при прохождении курса, однако и новички могут осваивать данную технологию абсолютно с нуля.

В каждом уроке будет разбираться не только теория, а также приводятся примеры, касающиеся изучаемых css свойств Flexbox.

После прохождения теории мы сверстаем макет с чистого листа, начиная от написания структуры html и заканчивая css стилями, где применим полученные знания на практике.",,https://cloud.mail.ru/public/FxEj/WnacsY8wp
WebForMyself,Адаптивная верстка,,http://webformyself.com/practicemobile/,"https://cloud.mail.ru/public/ssV1/53iLavY6L
Пароль: www.infosklad.org"
